# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
二氢埃托啡	er qing ai tuo fei	1
二氢睾酮	er qing gao tong	26
二氧丙嗪	er yang bing qin	3
二氧化硫中毒	er yang hua liu zhong du	1
二氧化碳中毒	er yang hua tan zhong du	7
二氧化碳分压	er yang hua tan fen ya	23
二氧化碳激光器	er yang hua tan ji guang qi	11
二氧化碳激光治疗	er yang hua tan ji guang zhi liao	3
二氧化碳麻醉	er yang hua tan ma zui	1
二氮嗪	er dan qin	8
二氮嗪注射液	er dan qin zhu she ye	4
二氯乙烷中毒	er lv yi wan zhong du	8
二氯二氟甲烷	er lv er fu jia wan	5
二氯异氰尿酸钠	er lv yi qing niao suan na	6
二溴氯丙烷	er xiu lv bing wan	4
二漏	er lou	4
二甲双胍格列本脲片	er jia shuang gua ge lie ben niao pian	2
二甲双胍缓释片	er jia shuang gua huan shi pian	1
二甲基乙酰胺	er jia ji yi xian an	17
二甲硅油	er jia gui you	1
二甲硅油乳剂	er jia gui you ru ji	3
二甲硅油气雾剂	er jia gui you qi wu ji	2
二甲硅油片	er jia gui you pian	3
二甲磺酸阿米三嗪	er jia huang suan a mi san qin	2
二甲苯中毒	er jia ben zhong du	2
二白	er bai	7
二硝基甲苯	er xiao ji jia ben	26
二硫化硒	er liu hua xi	7
二硫苏糖醇	er liu su tang chun	10
二磷酸果糖	er lin suan guo tang	10
二级预防	er ji yu fang	16
二羟基丙酮	er qiang ji bing tong	27
二羟苯甲酸	er qiang ben jia suan	3
二至丸	er zhi wan	1
二苯乙烯	er ben yi xi	25
二苯甲烷二异氰酸酯	er ben jia wan er yi qing suan zhi	2
二苯甲酮	er ben jia tong	47
二苯胺	er ben an	43
二重感染	er chong gan ran	14
云南白药创可贴	yun nan bai yao chuang ke tie	1
云南白药片	yun nan bai yao pian	3
云南白药胶囊	yun nan bai yao jiao nang	7
云南白药膏	yun nan bai yao gao	7
云南白药酊	yun nan bai yao ding	7
云母尘肺	yun mu chen fei	4
云芝糖肽	yun zhi tang tai	2
云芝胞内糖肽	yun zhi bao nei tang tai	2
云芝胞内糖肽胶囊	yun zhi bao nei tang tai jiao nang	3
云芝菌胶囊	yun zhi jun jiao nang	2
云门穴	yun men xue	2
互交	hu jiao	14
五仁丸	wu ren wan	2
五仁润肠丸	wu ren run chang wan	2
五加参归芪精	wu jia shen gui qi jing	2
五加皮	wu jia pi	18
五味子丸	wu wei zi wan	3
五味子乙素	wu wei zi yi su	2
五味子甲素	wu wei zi jia su	2
五味子糖浆	wu wei zi tang jiang	2
五味子颗粒	wu wei zi ke li	2
五味安神颗粒	wu wei an shen ke li	3
五味沙棘散	wu wei sha ji san	3
五味消毒饮	wu wei xiao du yin	1
五味黄连丸	wu wei huang lian wan	5
五子衍宗丸	wu zi yan zong wan	1
五官科学	wu guan ke xue	1
五心烦热	wu xin fan re	2
五更太平丸	wu geng tai ping wan	3
五更泄泻	wu geng xie xie	4
五氟利多	wu fu li duo	3
五氟利多片	wu fu li duo pian	3
五氯酚	wu lv fen	16
五氯酚钠	wu lv fen na	9
五海瘿瘤丸	wu hai ying liu wan	5
五灵肝复胶囊	wu ling gan fu jiao nang	2
五灵脂	wu ling zhi	11
五皮饮	wu pi yin	3
五禽戏	wu qin xi	42
五维赖氨酸片	wu wei lai an suan pian	3
五肽胃泌素	wu tai wei mi su	1
五苓散	wu ling san	12
五苓胶囊	wu ling jiao nang	2
五藏	wu zang	5
五行相生相克	wu xing xiang sheng xiang ke	14
五输穴	wu shu xue	5
亚叶酸钙	ya ye suan gai	4
亚急性甲状腺炎	ya ji xing jia zhuang xian yan	5
亚急性皮肤型红斑狼疮	ya ji xing pi fu xing hong ban lang chuang	2
亚急性硬化性全脑炎	ya ji xing ying hua xing quan nao yan	3
亚急性细菌性心内膜炎	ya ji xing xi jun xing xin nei mo yan	3
亚成虫	ya cheng chong	8
亚油酸甲酯	ya you suan jia zhi	1
亚界	ya jie	4
亚砷酸氯化钠注射液	ya shen suan lv hua na zhu she ye	3
亚硝酸异戊酯	ya xiao suan yi wu zhi	33
亚硝酸异戊酯吸入剂	ya xiao suan yi wu zhi xi ru ji	2
亚硝酸钠注射液	ya xiao suan na zhu she ye	3
亚硫酸氢钠甲萘醌	ya liu suan qing na jia nai kun	2
亚高山带	ya gao shan dai	37
亚麻子	ya ma zi	10
亡阳证	wang yang zheng	1
交会穴	jiao hui xue	15
交信	jiao xin	6
交叉免疫	jiao cha mian yi	2
交叉反应	jiao cha fan ying	36
交叉耐受	jiao cha nai shou	4
交叉配血试验	jiao cha pei xue shi yan	3
交感性眼炎	jiao gan xing yan yan	18
交感神经型颈椎病	jiao gan shen jing xing jing zhui bing	5
交换子	jiao huan zi	2
交沙霉素片	jiao sha mei su pian	2
交界痣	jiao jie zhi	5
交界瘤	jiao jie liu	2
交通心肾	jiao tong xin shen	5
产伤	chan shang	22
产前出血	chan qian chu xue	27
产前子痫	chan qian zi xian	3
产前检查	chan qian jian cha	49
产卵场	chan luan chang	31
产后子宫复旧不全	chan hou zi gong fu jiu bu quan	2
产后甲状腺炎	chan hou jia zhuang xian yan	4
产后精神病	chan hou jing shen bing	2
产宝	chan bao	3
产热	chan re	49
产程延长	chan cheng yan chang	2
产褥期感染	chan ru qi gan ran	6
亨特氏综合征	heng te shi zong he zheng	2
京万红	jing wan hong	4
京万红软膏	jing wan hong ruan gao	1
京制牛黄解毒片	jing zhi niu huang jie du pian	1
京必舒新	jing bi shu xin	2
京门	jing men	8
京门穴	jing men xue	2
亮丙瑞林	liang bing rui lin	4
亮嗓胖大海清咽糖	liang sang pang da hai qing yan tang	3
亮甲	liang jia	45
亮菌甲素	liang jun jia su	4
亮菌甲素注射液	liang jun jia su zhu she ye	6
亲合力	qin he li	27
亲社会行为	qin she hui xing wei	20
人中穴	ren zhong xue	2
人为灾害	ren wei zai hai	33
人乳头瘤病毒	ren ru tou liu bing du	13
人体寄生虫学	ren ti ji sheng chong xue	6
人体形态学	ren ti xing tai xue	5
人体曲线	ren ti qu xian	5
人体测量学	ren ti ce liang xue	35
人体病理学	ren ti bing li xue	4
人体结构学	ren ti jie gou xue	1
人体解剖生理学	ren ti jie pou sheng li xue	3
人体黄金分割	ren ti huang jin fen ge	2
人免疫球蛋白	ren mian yi qiu dan bai	24
人凝血酶原复合物	ren ning xue mei yuan fu he wu	1
人参健脾丸	ren shen jian pi wan	6
人参养荣丸	ren shen yang rong wan	5
人参养荣汤	ren shen yang rong tang	2
人参再造丸	ren shen zai zao wan	2
人参口服液	ren shen kou fu ye	3
人参叶	ren shen ye	5
人参固本丸	ren shen gu ben wan	2
人参多糖注射液	ren shen duo tang zhu she ye	2
人参天麻药酒	ren shen tian ma yao jiu	3
人参归脾丸	ren shen gui pi wan	4
人参胡桃汤	ren shen hu tao tang	1
人参芦	ren shen lu	2
人参芦头	ren shen lu tou	2
人参茎叶总皂苷注射液	ren shen jing ye zong zao gan zhu she ye	3
人参茎叶皂苷	ren shen jing ye zao gan	2
人参药酒	ren shen yao jiu	3
人参蛤蚧散	ren shen ge jie san	1
人参蜂王浆	ren shen feng wang jiang	5
人参袋泡茶	ren shen dai pao cha	2
人参首乌胶囊	ren shen shou wu jiao nang	4
人口学	ren kou xue	11
人字缝	ren zi feng	9
人工全髋关节置换术	ren gong quan kuan guan jie zhi huan shu	5
人工关节	ren gong guan jie	39
人工剥离胎盘术	ren gong bo li tai pan shu	2
人工喉	ren gong hou	6
人工晶体	ren gong jing ti	37
人工晶体植入术	ren gong jing ti zhi ru shu	8
人工概念	ren gong gai nian	2
人工泪液	ren gong lei ye	38
人工牙	ren gong ya	1
人工牛黄	ren gong niu huang	11
人工牛黄甲硝唑	ren gong niu huang jia xiao zuo	4
人工牛黄甲硝唑胶囊	ren gong niu huang jia xiao zuo jiao nang	7
人工瓣膜	ren gong ban mo	8
人工皮	ren gong pi	8
人工皮炎	ren gong pi yan	2
人工破膜	ren gong po mo	1
人工破膜术	ren gong po mo shu	2
人工种子	ren gong zhong zi	2
人工股骨头置换术	ren gong gu gu tou zhi huan shu	6
人工肺	ren gong fei	7
人工血管	ren gong xue guan	11
人工阴茎	ren gong yin jing	11
人工阴道	ren gong yin dao	19
人工骨	ren gong gu	2
人工髋关节	ren gong kuan guan jie	4
人工麝香	ren gong she xiang	8
人工鼻	ren gong bi	6
人狂犬病免疫球蛋白	ren kuang quan bing mian yi qiu dan bai	4
人用狂犬病纯化疫苗	ren yong kuang quan bing chun hua yi miao	2
人畜共患传染病	ren chu gong huan chuan ran bing	4
人痘接种	ren dou jie zhong	37
人知降糖胶囊	ren zhi jiang tang jiao nang	3
人破伤风免疫球蛋白	ren po shang feng mian yi qiu dan bai	4
人类疾病动物模型	ren lei ji bing dong wu mo xing	1
人纤维蛋白原	ren xian wei dan bai yuan	6
人绒毛膜促性腺激素	ren rong mao mo cu xing xian ji su	6
人群易感性	ren qun yi gan xing	1
人胎盘片	ren tai pan pian	3
人胎盘组织液	ren tai pan zu zhi ye	5
人胎盘脂多糖注射液	ren tai pan zhi duo tang zhu she ye	2
人血丙种球蛋白	ren xue bing zhong qiu dan bai	3
人血清白蛋白	ren xue qing bai dan bai	12
人血白蛋白	ren xue bai dan bai	8
人血白蛋白注射液	ren xue bai dan bai zhu she ye	4
人迎	ren ying	8
人迎穴	ren ying xue	1
人造器官	ren zao qi guan	16
人造血管	ren zao xue guan	7
仁青常觉	ren qing chang jue	5
仁青芒觉	ren qing mang jue	4
仆参	pu can	1
介入医学	jie ru yi xue	1
介入放射学	jie ru fang she xue	3
他克莫司胶囊	ta ke mo si jiao nang	2
他唑巴坦	ta zuo ba tan	7
他唑巴坦钠	ta zuo ba tan na	5
他莫昔芬	ta mo xi fen	13
他达拉非	ta da la fei	15
仙乐雄胶囊	xian le xiong jiao nang	4
仙授理伤续断秘方	xian shou li shang xu duan mi fang	2
仙方活命饮	xian fang huo ming yin	1
仙灵骨葆胶囊	xian ling gu bao jiao nang	5
仙藜口服液	xian li kou fu ye	3
仙鹤草	xian he cao	6
代偿性肥大	dai chang xing fei da	1
代田稔	dai tian ren	11
代谢当量	dai xie dang liang	8
代谢性疾病	dai xie xing ji bing	40
代谢性白内障	dai xie xing bai nei zhang	1
代谢性碱中毒	dai xie xing jian zhong du	10
代谢性酸中毒	dai xie xing suan zhong du	31
代谢性骨病	dai xie xing gu bing	7
代谢紊乱	dai xie wen luan	46
代谢综合征	dai xie zong he zheng	25
代谢酶	dai xie mei	28
代谢障碍	dai xie zhang ai	27
代赭石	dai zhe shi	4
仲景胃灵丸	zhong jing wei ling wan	3
任应秋	ren ying qiu	4
任脉	ren mai	38
伊托必利	yi tuo bi li	1
伊曲康唑	yi qu kang zuo	46
伊曲康唑胶囊	yi qu kang zuo jiao nang	1
伊来西胺片	yi lai xi an pian	2
伊班膦酸钠注射液	yi ban lin suan na zhu she ye	2
伊立替康	yi li ti kang	11
伊藤痣	yi teng zhi	5
伊蚊	yi wen	30
伊达比星	yi da bi xing	3
伏兔	fu tu	43
伏格列波糖	fu ge lie bo tang	1
伏格列波糖胶囊	fu ge lie bo tang jiao nang	2
伏梁	fu liang	2
伏立康唑	fu li kang zuo	4
伏立康唑片	fu li kang zuo pian	2
伏龙肝	fu long gan	3
伐地那非	fa di na fei	7
伐昔洛韦	fa xi luo wei	10
休克型肺炎	xiu ke xing fei yan	2
休克肺	xiu ke fei	2
休息期	xiu xi qi	8
休止期脱发	xiu zhi qi tuo fa	9
休眠卵	xiu mian luan	1
休眠芽	xiu mian ya	13
众生胶囊	zhong sheng jiao nang	3
优氯净	you lv jing	6
优生优育	you sheng you yu	21
优甲乐	you jia le	1
会厌囊肿	hui yan nang zhong	1
会厌软骨	hui yan ruan gu	8
会宗	hui zong	3
会穴	hui xue	3
会计学基础	kuai ji xue ji chu	3
会阳	hui yang	4
会阴切开术	hui yin qie kai shu	23
会阴疝	hui yin shan	1
会阴穴	hui yin xue	2
传代培养	chuan dai pei yang	5
传导性耳聋	chuan dao xing er long	9
传导路	chuan dao lu	1
传导通路	chuan dao tong lu	30
传染性单核细胞增多症	chuan ran xing dan he xi bao zeng duo zheng	6
传染性红斑	chuan ran xing hong ban	7
传染性软疣	chuan ran xing ruan you	24
传染期	chuan ran qi	20
传染病报告卡	chuan ran bing bao gao ka	8
传染过程	chuan ran guo cheng	3
传统科学	chuan tong ke xue	6
传递细胞	chuan di xi bao	6
伤口敷料	shang kou fu liao	8
伤寒杆菌	shang han gan jun	35
伤寒疫苗	shang han yi miao	30
伤寒菌苗	shang han jun miao	2
伤寒论选读	shang han lun xuan du	2
伤暑	shang shu	5
伤湿	shang shi	6
伤湿止痛膏	shang shi zhi tong gao	7
伤湿祛痛膏	shang shi qu tong gao	4
伤益气雾剂	shang yi qi wu ji	3
伤科接骨片	shang ke jie gu pian	3
伤风停片	shang feng ting pian	2
伤风止咳糖浆	shang feng zhi ke tang jiang	2
伤食	shang shi	1
伪影	wei ying	23
伪膜性肠炎	wei mo xing chang yan	3
伯氨喹	bo an kui	10
伴性遗传	ban xing yi chuan	16
伴随免疫	ban sui mian yi	2
伴高血压	ban gao xue ya	1
伸筋丹胶囊	shen jin dan jiao nang	3
伸筋活络丸	shen jin huo luo wan	3
伸筋草	shen jin cao	5
似动现象	si dong xian xiang	4
伽玛刀治疗	jia ma dao zhi liao	5
位听神经	wei ting shen jing	1
低丙种球蛋白血症	di bing zhong qiu dan bai xue zheng	4
低体重儿	di ti zhong er	6
低分子右旋糖酐	di fen zi you xuan tang gan	4
低分子肝素	di fen zi gan su	6
低分子量肝素	di fen zi liang gan su	17
低分子量肝素钙注射液	di fen zi liang gan su gai zhu she ye	3
低密度脂蛋白胆固醇	di mi du zhi dan bai dan gu chun	9
低常儿童	di chang er tong	4
低温冰箱	di wen bing xiang	5
低白蛋白血症	di bai dan bai xue zheng	13
低盐饮食	di yan yin shi	5
低色素性贫血	di se su xing pin xue	3
低血容量	di xue rong liang	26
低血糖症	di xue tang zheng	46
低钙血症	di gai xue zheng	23
低钠血症	di na xue zheng	25
低镁血症	di mei xue zheng	20
低颅压性头痛	di lu ya xing tou tong	2
佐匹克隆片	zuo pi ke long pian	2
佐米曲普坦	zuo mi qu pu tan	3
体位性低血压	ti wei xing di xue ya	6
体像障碍	ti xiang zhang ai	3
体内过程	ti nei guo cheng	7
体外冲击波碎石	ti wai chong ji bo sui shi	6
体外反搏治疗	ti wai fan bo zhi liao	3
体外培育牛黄	ti wai pei yu niu huang	5
体外寄生虫	ti wai ji sheng chong	19
体毛	ti mao	10
体液调节	ti ye tiao jie	9
体癣	ti xuan	9
体细胞突变	ti xi bao tu bian	13
体虚	ti xu	38
体虚感冒	ti xu gan mao	6
体质性矮小	ti zhi xing ai xiao	3
何若愚	he ruo yu	4
余云岫	yu yun xiu	48
余甘子	yu gan zi	21
余甘子喉片	yu gan zi hou pian	2
佛焰花序	fo yan hua xu	10
作业治疗学	zuo ye zhi liao xue	3
作业疗法	zuo ye liao fa	17
佩吉特氏病	pei ji te shi bing	6
佩夫人止咳露	pei fu ren zhi ke lu	1
依从性	yi cong xing	43
依匹斯汀	yi pi si ting	2
依地酸钙钠	yi di suan gai na	3
依地酸钙钠注射液	yi di suan gai na zhu she ye	3
依巴斯汀	yi ba si ting	2
依巴斯汀片	yi ba si ting pian	2
依帕司他	yi pa si ta	1
依托咪酯	yi tuo mi zhi	8
依托度酸	yi tuo du suan	1
依托度酸片	yi tuo du suan pian	2
依托泊苷	yi tuo bo gan	37
依托泊苷注射液	yi tuo bo gan zhu she ye	2
依托红霉素颗粒	yi tuo hong mei su ke li	3
依替米星	yi ti mi xing	2
依沙吖啶	yi sha a ding	3
依苏	yi su	4
依西美坦	yi xi mei tan	24
依诺沙星	yi nuo sha xing	13
依诺沙星乳膏	yi nuo sha xing ru gao	2
依诺沙星滴眼液	yi nuo sha xing di yan ye	2
依诺肝素	yi nuo gan su	7
依赖型人格障碍	yi lai xing ren ge zhang ai	17
依达拉奉	yi da la feng	9
依那普利	yi na pu li	12
依那普利拉	yi na pu li la	2
依马打正红花油	yi ma da zheng hong hua you	2
侠溪	xia xi	1
侠溪穴	xia xi xue	2
侧单眼	ce dan yan	5
侧柏叶	ce bai ye	11
侧脑室	ce nao shi	34
侯凡凡	hou fan fan	8
侵袭力	qin xi li	1
便乃通茶	bian nai tong cha	4
便塞停	bian se ting	2
便血病	bian xue bing	1
便通胶囊	bian tong jiao nang	2
便闭	bian bi	3
促凝血药	cu ning xue yao	1
促卵泡生成素	cu luan pao sheng cheng su	3
促卵泡素	cu luan pao su	1
促性腺激素释放激素	cu xing xian ji su shi fang ji su	6
促皮质激素	cu pi zhi ji su	3
促皮质素	cu pi zhi su	4
促红细胞生成素	cu hong xi bao sheng cheng su	30
促肝细胞生长素	cu gan xi bao sheng zhang su	2
促肾上腺皮质激素	cu shen shang xian pi zhi ji su	49
促胰液素	cu yi ye su	20
促黄体生成激素	cu huang ti sheng cheng ji su	4
促黄体生成素	cu huang ti sheng cheng su	4
促黄体素	cu huang ti su	2
促黑素细胞激素	cu hei su xi bao ji su	3
俄歇电子	e xie dian zi	34
保元汤	bao yuan tang	4
保列治	bao lie zhi	5
保利尔胶囊	bao li er jiao nang	3
保卫细胞	bao wei xi bao	32
保和丸	bao he wan	1
保妇康凝胶	bao fu kang ning jiao	2
保妇康栓	bao fu kang shuan	4
保婴丹	bao ying dan	4
保守疗法	bao shou liao fa	8
保护性免疫	bao hu xing mian yi	6
保护性抗原	bao hu xing kang yuan	4
保泰松	bao tai song	13
保济口服液	bao ji kou fu ye	5
保育培养	bao yu pei yang	2
保胎无忧片	bao tai wu you pian	2
保胎灵	bao tai ling	3
保胎灵胶囊	bao tai ling jiao nang	2
俞府	yu fu	5
俞府穴	yu fu xue	1
俞梦孙	yu meng sun	4
俞穴	yu xue	9
信号序列	xin hao xu lie	32
信息体	xin xi ti	4
修复体	xiu fu ti	13
修复术	xiu fu shu	13
修复酶	xiu fu mei	9
修饰基因	xiu shi ji yin	3
修饰行为	xiu shi xing wei	3
倍他乐克	bei ta le ke	6
倍他米松	bei ta mi song	20
倍他米松戊酸酯	bei ta mi song wu suan zhi	1
倍他米隆	bei ta mi long	8
倍氯米松	bei lv mi song	6
倍美力片	bei mei li pian	2
倒位	dao wei	6
倒扣草	dao kou cao	2
倒经	dao jing	4
倒置显微镜	dao zhi xian wei jing	2
倪葆春	ni bao chun	9
倾倒综合征	qing dao zong he zheng	3
假两性同体	jia liang xing tong ti	1
假两性畸形	jia liang xing ji xing	3
假怒	jia nu	2
假性动脉瘤	jia xing dong mai liu	7
假性幻觉	jia xing huan jue	2
假性延髓麻痹	jia xing yan sui ma bi	1
假性性早熟	jia xing xing zao shu	1
假性斑秃	jia xing ban tu	2
假性球麻痹	jia xing qiu ma bi	3
假性痴呆	jia xing chi dai	1
假性肥大	jia xing fei da	1
假根	jia gen	3
假狂犬病	jia kuang quan bing	4
假肥大性肌营养不良	jia fei da xing ji ying yang bu liang	3
假阴性	jia yin xing	48
偏历	pian li	4
偏态分布	pian tai fen bu	3
偏执型人格障碍	pian zhi xing ren ge zhang ai	6
偏执型精神分裂症	pian zhi xing jing shen fen lie zheng	14
偏执状态	pian zhi zhuang tai	1
偏振光显微镜	pian zhen guang xian wei jing	4
偏流	pian liu	18
偏瘫复原丸	pian tan fu yuan wan	4
偏盲	pian mang	26
停药反应	ting yao fan ying	2
健儿止泻颗粒	jian er zhi xie ke li	3
健儿消食口服液	jian er xiao shi kou fu ye	5
健儿清解液	jian er qing jie ye	1
健儿疳积散	jian er gan ji san	2
健康带菌者	jian kang dai jun zhe	7
健康心理学	jian kang xin li xue	44
健康教育学	jian kang jiao yu xue	7
健康行为	jian kang xing wei	49
健康证	jian kang zheng	15
健康评估	jian kang ping gu	41
健延龄胶囊	jian yan ling jiao nang	3
健民咽喉片	jian min yan hou pian	3
健肾生发丸	jian shen sheng fa wan	4
健肾益肺口服液	jian shen yi fei kou fu ye	2
健肾益肺颗粒	jian shen yi fei ke li	2
健胃消炎颗粒	jian wei xiao yan ke li	2
健胃消食口服液	jian wei xiao shi kou fu ye	3
健胃消食片	jian wei xiao shi pian	3
健脑益气片	jian nao yi qi pian	2
健脑胶囊	jian nao jiao nang	4
健脑补肾丸	jian nao bu shen wan	2
健脾丸	jian pi wan	1
健脾五味丸	jian pi wu wei wan	2
健脾化湿	jian pi hua shi	8
健脾壮腰药酒	jian pi zhuang yao yao jiu	2
健脾止遗片	jian pi zhi yi pian	4
健脾消食丸	jian pi xiao shi wan	2
健脾益气	jian pi yi qi	3
健脾益肾	jian pi yi shen	7
健脾益肾颗粒	jian pi yi shen ke li	3
健脾祛湿	jian pi qu shi	1
健脾糕片	jian pi gao pian	2
健脾补血	jian pi bu xue	6
健身跑	jian shen pao	2
健身长春膏	jian shen chang chun gao	2
健阳胶囊	jian yang jiao nang	3
偶合反应	ou he fan ying	33
傅培彬	fu pei bin	5
储存宿主	chu cun su zhu	6
催产素引产	cui chan su yin chan	1
催眠剂	cui mian ji	18
僵人综合征	jiang ren zong he zheng	3
儿康宁糖浆	er kang ning tang jiang	1
儿感清口服液	er gan qing kou fu ye	3
儿泻康贴膜	er xie kang tie mo	4
儿科七厘散	er ke qi li san	2
儿科学	er ke xue	9
儿科护理学	er ke hu li xue	2
儿童保健学	er tong bao jian xue	1
儿童口腔医学	er tong kou qiang yi xue	1
儿童咳液	er tong ke ye	3
儿童少年卫生学	er tong shao nian wei sheng xue	3
儿童感热清丸	er tong gan re qing wan	3
儿童护理	er tong hu li	26
儿童清肺丸	er tong qing fei wan	4
儿童清肺口服液	er tong qing fei kou fu ye	4
儿童脑性瘫痪	er tong nao xing tan huan	4
儿童高钙片	er tong gao gai pian	3
儿童鼻窦炎	er tong bi dou yan	5
儿茶酸	er cha suan	22
元参	yuan shen	7
元神之府	yuan shen zhi fu	4
元素主义	yuan su zhu yi	2
元胡止痛滴丸	yuan hu zhi tong di wan	4
元胡止痛片	yuan hu zhi tong pian	4
元胡止痛胶囊	yuan hu zhi tong jiao nang	3
充溢性尿失禁	chong yi xing niao shi jin	2
充盈缺损	chong ying que sun	3
先兆临产	xian zhao lin chan	5
先兆子痫	xian zhao zi xian	16
先兆早产	xian zhao zao chan	7
先兆流产	xian zhao liu chan	20
先天性主动脉缩窄	xian tian xing zhu dong mai suo zhai	3
先天性代谢缺陷	xian tian xing dai xie que xian	3
先天性再生障碍性贫血	xian tian xing zai sheng zhang ai xing pin xue	4
