# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
浮点乘	fu dian cheng	2
浮点加	fu dian jia	2
浮点变量	fu dian bian liang	4
浮点型	fu dian xing	29
浮点处理单元	fu dian chu li dan yuan	1
浮点常量	fu dian chang liang	9
浮点标准	fu dian biao zhun	3
浮点运算单元	fu dian yun suan dan yuan	49
浮点除	fu dian chu	17
海思开发	hai si kai fa	5
海水淡化膜	hai shui dan hua mo	5
海量存储器	hai liang cun chu qi	5
海量数据	hai liang shu ju	39
海量数据处理	hai liang shu ju chu li	12
海量数据挖掘	hai liang shu ju wa jue	7
海量连接	hai liang lian jie	6
消息中间件	xiao xi zhong jian jian	19
消息传送系统	xiao xi chuan song xi tong	6
消息传递库	xiao xi chuan di ku	5
消息传递接口	xiao xi chuan di jie kou	5
消息分发	xiao xi fen fa	5
消息发送	xiao xi fa song	45
消息响应	xiao xi xiang ying	1
消息处理	xiao xi chu li	37
消息处理机制	xiao xi chu li ji zhi	2
消息处理系统	xiao xi chu li xi tong	7
消息存储	xiao xi cun chu	5
消息循环	xiao xi xun huan	11
消息循环机制	xiao xi xun huan ji zhi	10
消息总线	xiao xi zong xian	2
消息排队	xiao xi pai dui	9
消息推送	xiao xi tui song	29
消息方式	xiao xi fang shi	1
消息日志	xiao xi ri zhi	3
消息映射	xiao xi ying she	12
消息机制	xiao xi ji zhi	5
消息框	xiao xi kuang	17
消息系统	xiao xi xi tong	12
消息路由	xiao xi lu you	10
消息转发	xiao xi zhuan fa	9
消息通信	xiao xi tong xin	5
消除锯齿	xiao chu ju chi	8
淘宝源	tao bao yuan	8
淡入淡出	dan ru dan chu	26
深克隆	shen ke long	10
深复制	shen fu zhi	13
深度优先	shen du you xian	11
深度优先搜寻	shen du you xian sou xun	7
深度优先遍历	shen du you xian bian li	18
深度克隆	shen du ke long	10
深度图	shen du tu	26
深度复制	shen du fu zhi	10
深度搜索	shen du sou suo	3
深度测试	shen du ce shi	7
深度缓存	shen du huan cun	6
深度网络	shen du wang luo	3
深度计算	shen du ji suan	4
深度遍历	shen du bian li	1
深拷贝	shen kao bei	1
深搜	shen sou	1
深搜广搜	shen sou guang sou	6
深浅拷贝	shen qian kao bei	9
混乱性	hun luan xing	5
混合云	hun he yun	32
混合应用	hun he ying yong	5
混合开发	hun he kai fa	8
混合系统	hun he xi tong	8
混合编码	hun he bian ma	12
混合编程	hun he bian cheng	1
混合背包	hun he bei bao	7
混合高斯模型	hun he gao si mo xing	3
混淆代码	hun xiao dai ma	3
混淆打包	hun xiao da bao	9
混淆矩阵	hun xiao ju zhen	10
混淆编译	hun xiao bian yi	8
添加删除按钮	tian jia shan chu an niu	7
添加属性	tian jia shu xing	14
添加数据	tian jia shu ju	3
添加用户	tian jia yong hu	2
添加硬件	tian jia ying jian	3
添加节点	tian jia jie dian	3
添加行	tian jia hang	1
添物	tian wu	7
清单文件	qing dan wen jian	13
清晰性	qing xi xing	23
清橙	qing cheng	1
清理缓存	qing li huan cun	41
清除切片	qing chu qie pian	4
清除历史记录	qing chu li shi ji lu	1
清除参考线	qing chu can kao xian	5
清除数组	qing chu shu zu	1
清除浮动	qing chu fu dong	12
清除缓存	qing chu huan cun	40
清除请求	qing chu qing qiu	7
渐变动画	jian bian dong hua	12
渐变叠加	jian bian die jia	7
渐变色	jian bian se	42
渗透学习	shen tou xue xi	5
温度控制器	wen du kong zhi qi	14
渲染效果	xuan ran xiao guo	18
渲染管线	xuan ran guan xian	20
游戏业务	you xi ye wu	8
游戏分析	you xi fen xi	8
游戏化	you xi hua	9
游戏客户端	you xi ke hu duan	18
游戏工具	you xi gong ju	8
游戏开发教程	you xi kai fa jiao cheng	1
游戏开发框架	you xi kai fa kuang jia	3
游戏引擎设计	you xi yin qing she ji	1
游戏技术	you xi ji shu	8
游戏数据	you xi shu ju	11
游戏服务端	you xi fu wu duan	9
游戏架构	you xi jia gou	19
游戏框架	you xi kuang jia	24
游戏测试	you xi ce shi	9
游戏策划	you xi ce hua	49
游戏算法	you xi suan fa	1
游戏类	you xi lei	10
游戏编程	you xi bian cheng	32
游戏脚本	you xi jiao ben	30
游程编码	you cheng bian ma	18
源代码下载	yuan dai ma xia zai	2
源代码分析	yuan dai ma fen xi	5
源代码加密	yuan dai ma jia mi	6
源代码教育	yuan dai ma jiao yu	6
源代码管理	yuan dai ma guan li	3
源代码阅读	yuan dai ma yue du	9
源服务器	yuan fu wu qi	13
源码下载	yuan ma xia zai	1
源码分享	yuan ma fen xiang	1
源码分析	yuan ma fen xi	1
源码剖析	yuan ma pou xi	1
源码包	yuan ma bao	7
源码安装	yuan ma an zhuang	2
源码实现	yuan ma shi xian	12
源码开发	yuan ma kai fa	6
源码理解	yuan ma li jie	9
源码研究	yuan ma yan jiu	9
源码管理	yuan ma guan li	1
源码编译	yuan ma bian yi	10
源码解读	yuan ma jie du	10
源码阅读	yuan ma yue du	11
源阻抗	yuan zu kang	4
溢出区	yi chu qu	1
溢出检查	yi chu jian cha	3
滑动事件	hua dong shi jian	12
滑动冲突	hua dong chong tu	11
滑动切换	hua dong qie huan	5
滑动删除	hua dong shan chu	1
滑动开关	hua dong kai guan	6
滑动效果	hua dong xiao guo	12
滑动条	hua dong tiao	7
滑动窗口	hua dong chuang kou	32
滑动菜单	hua dong cai dan	11
滑动菜单栏	hua dong cai dan lan	7
滑动返回	hua dong fan hui	11
滑动门	hua dong men	40
滚动字幕	gun dong zi mu	34
滚动效果	gun dong xiao guo	5
滚动数组	gun dong shu zu	12
滚动视图	gun dong shi tu	12
满二叉树	man er cha shu	4
滤波算法	lv bo suan fa	1
滤镜库	lv jing ku	7
滤镜操作	lv jing cao zuo	7
漏洞分析	lou dong fen xi	2
漏洞扫描	lou dong sao miao	21
漏洞挖掘	lou dong wa jue	1
漏洞收集	lou dong shou ji	5
漏洞演练	lou dong yan lian	5
演示程序	yan shi cheng xu	20
演绎数据库	yan yi shu ju ku	1
漫反射光	man fan she guang	3
潜伏时间	qian fu shi jian	12
激活原语	ji huo yuan yu	5
激活机制	ji huo ji zhi	5
瀑布模型	pu bu mo xing	34
瀑布流	pu bu liu	18
瀑布流布局	pu bu liu bu ju	10
火星坐标	huo xing zuo biao	1
火狐浏览器	huo hu liu lan qi	32
灰度值	hui du zhi	33
灰度共生矩阵	hui du gong sheng ju zhen	8
灰度变换	hui du bian huan	9
灰度图	hui du tu	9
灰度图像	hui du tu xiang	40
灰度校正	hui du jiao zheng	5
灰度直方图	hui du zhi fang tu	10
灰盒测试	hui he ce shi	6
灰鸽子	hui ge zi	16
灵犀云	ling xi yun	6
灾难恢复计划	zai nan hui fu ji hua	6
炫酷效果	xuan ku xiao guo	9
点乘	dian cheng	12
点九图	dian jiu tu	8
点云	dian yun	11
点云处理	dian yun chu li	1
点云库	dian yun ku	10
点修改	dian xiu gai	12
点击事件	dian ji shi jian	3
点击事件冲突	dian ji shi jian chong tu	7
点击效果	dian ji xiao guo	12
点击设备	dian ji she bei	2
点到点协议	dian dao dian xie yi	5
点双连通分量	dian shuang lian tong fen liang	8
点对多点通信	dian dui duo dian tong xin	4
点对点协议	dian dui dian xie yi	41
点对点连接	dian dui dian lian jie	14
点对点通信	dian dui dian tong xin	4
点数据分析	dian shu ju fen xi	5
点检索	dian jian suo	6
点点通	dian dian tong	7
点积	dian ji	12
点语法	dian yu fa	2
点运算	dian yun suan	4
点阵字库	dian zhen zi ku	1
点集	dian ji	13
烂笔头	lan bi tou	9
烧写	shao xie	18
热修复	re xiu fu	22
热加载	re jia zai	10
热启动	re qi dong	11
热备份	re bei fen	12
热更新	re geng xin	8
热补丁	re bu ding	6
热部署	re bu shu	6
焊盘	han pan	25
焦点图	jiao dian tu	3
照片处理	zhao pian chu li	8
熊猫烧香	xiong mao shao xiang	32
熔丝	rong si	39
爆搜	bao sou	2
爬山法	pa shan fa	2
爬山算法	pa shan suan fa	12
爬虫框架	pa chong kuang jia	1
爬虫项目	pa chong xiang mu	8
爱加密	ai jia mi	10
父子进程	fu zi jin cheng	4
父成员	fu cheng yuan	6
父窗口	fu chuang kou	28
父级元素	fu ji yuan su	1
父页面	fu ye mian	1
片选	pian xuan	12
版本信息	ban ben xin xi	34
版本兼容	ban ben jian rong	21
版本冲突	ban ben chong tu	3
版本回退	ban ben hui tui	1
版本定制	ban ben ding zhi	3
版本库	ban ben ku	41
版本控制器	ban ben kong zhi qi	9
版本控制工具	ban ben kong zhi gong ju	8
版本检测	ban ben jian ce	9
版本策略	ban ben ce lve	1
版本管理	ban ben guan li	15
版本管理工具	ban ben guan li gong ju	11
版本编程	ban ben bian cheng	1
版本适配	ban ben shi pei	1
牛客网	niu ke wang	10
牛津计划	niu jin ji hua	6
牛顿迭代	niu dun die dai	7
牛顿迭代法	niu dun die dai fa	5
物体检测	wu ti jian ce	11
物体空间	wu ti kong jian	13
物体识别	wu ti shi bie	30
物化视图	wu hua shi tu	7
物媒体	wu mei ti	6
物理介质	wu li jie zhi	40
物理信号	wu li xin hao	9
物理分页	wu li fen ye	9
物理媒体连接	wu li mei ti lian jie	5
物理对象	wu li dui xiang	41
物理布局	wu li bu ju	5
物理布线	wu li bu xian	5
物理故障	wu li gu zhang	8
物理数据模型	wu li shu ju mo xing	1
物理模式	wu li mo shi	7
物理模拟	wu li mo ni	33
物理符号系统	wu li fu hao xi tong	26
物理设备	wu li she bei	29
物理需求	wu li xu qiu	2
物联网世界	wu lian wang shi jie	6
物联网开发	wu lian wang kai fa	1
物联网技术	wu lian wang ji shu	21
特征交互	te zheng jiao hu	4
特征分析	te zheng fen xi	27
特征匹配	te zheng pi pei	5
特征工程	te zheng gong cheng	1
特征抽取	te zheng chou qu	11
特征检测	te zheng jian ce	45
特征模型	te zheng mo xing	8
特征点检测	te zheng dian jian ce	6
特征生成	te zheng sheng cheng	8
特征编码	te zheng bian ma	3
特征识别	te zheng shi bie	42
特征选择	te zheng xuan ze	24
特征项	te zheng xiang	9
特权命令	te quan ming ling	1
特权指令	te quan zhi ling	9
特权级	te quan ji	14
特殊回文数	te shu hui wen shu	6
特殊恢复	te shu hui fu	5
特殊数据	te shu shu ju	5
特殊算法	te shu suan fa	2
状压	zhuang ya	2
状态保存	zhuang tai bao cun	25
状态压缩	zhuang tai ya suo	2
状态图	zhuang tai tu	48
状态字	zhuang tai zi	11
状态栈	zhuang tai zhan	8
状态栏颜色	zhuang tai lan yan se	10
状态栏高度	zhuang tai lan gao du	11
状态模式	zhuang tai mo shi	2
状态爆炸	zhuang tai bao zha	5
状态空间搜索	zhuang tai kong jian sou suo	2
状态空间表示	zhuang tai kong jian biao shi	27
状态转移图	zhuang tai zhuan yi tu	2
状态队列	zhuang tai dui lie	8
独立程序	du li cheng xu	21
猜数字游戏	cai shu zi you xi	2
玩转树莓派	wan zhuan shu mei pai	5
环境光	huan jing guang	11
环境变量设置	huan jing bian liang she zhi	3
环境变量配置	huan jing bian liang pei zhi	13
环境安装	huan jing an zhuang	12
环境搭建	huan jing da jian	14
环境映射	huan jing ying she	20
环境编程	huan jing bian cheng	1
环境设置	huan jing she zhi	7
环境配置	huan jing pei zhi	2
环形缓冲	huan xing huan chong	6
环形进度条	huan xing jin du tiao	10
环形队列	huan xing dui lie	11
现代优化算法	xian dai you hua suan fa	5
现场升级	xian chang sheng ji	2
现场设备	xian chang she bei	34
理想流	li xiang liu	4
瑞星杀毒软件	rui xing sha du ruan jian	5
瑞星防火墙	rui xing fang huo qiang	5
瓦片地图	wa pian di tu	1
甘特图	gan te tu	45
生产力工具	sheng chan li gong ju	12
生产管理	sheng chan guan li	10
生产者消费者	sheng chan zhe xiao fei zhe	7
生存周期	sheng cun zhou qi	21
生存周期模型	sheng cun zhou qi mo xing	5
生成二维码	sheng cheng er wei ma	4
生成器模式	sheng cheng qi mo shi	9
生成图片	sheng cheng tu pian	3
生成日志	sheng cheng ri zhi	2
生成树问题	sheng cheng shu wen ti	8
生成策略	sheng cheng ce lve	12
生成随机颜色	sheng cheng sui ji yan se	1
生日攻击	sheng ri gong ji	6
生物测定	sheng wu ce ding	17
生物计算机	sheng wu ji suan ji	12
用例图	yong li tu	19
用例扩展	yong li kuo zhan	5
用例数目	yong li shu mu	5
用例设计	yong li she ji	1
用友	yong you	11
用户中心	yong hu zhong xin	10
用户主体	yong hu zhu ti	6
用户交互	yong hu jiao hu	38
用户任务	yong hu ren wu	4
用户体验设计	yong hu ti yan she ji	21
用户作业	yong hu zuo ye	9
用户兴趣	yong hu xing qu	6
用户内存	yong hu nei cun	1
用户分区	yong hu fen qu	1
用户加密	yong hu jia mi	2
用户区	yong hu qu	11
用户坐标	yong hu zuo biao	9
用户坐标系	yong hu zuo biao xi	2
用户定义消息	yong hu ding yi xiao xi	8
用户密钥	yong hu mi yue	12
用户授权	yong hu shou quan	13
用户接口	yong hu jie kou	27
用户控件	yong hu kong jian	11
用户文件目录	yong hu wen jian mu lu	6
用户文档	yong hu wen dang	5
用户日志	yong hu ri zhi	1
用户权限	yong hu quan xian	42
用户标识	yong hu biao zhi	12
用户标识码	yong hu biao zhi ma	5
用户栈	yong hu zhan	2
用户栈指针	yong hu zhan zhi zhen	6
用户注销	yong hu zhu xiao	4
用户消息	yong hu xiao xi	6
用户状态表	yong hu zhuang tai biao	6
用户画像	yong hu hua xiang	2
用户登陆	yong hu deng lu	6
用户程序	yong hu cheng xu	37
用户简介	yong hu jian jie	2
用户线程	yong hu xian cheng	11
用户线程模型	yong hu xian cheng mo xing	6
用户自定	yong hu zi ding	8
用户行为分析	yong hu xing wei fen xi	11
用户认证	yong hu ren zheng	27
用户账号	yong hu zhang hao	39
用户账户	yong hu zhang hu	45
用户选项	yong hu xuan xiang	9
申请栈	shen qing zhan	8
电力系统仿真	dian li xi tong fang zhen	2
电商架构	dian shang jia gou	7
电商系统	dian shang xi tong	10
电商营销	dian shang ying xiao	2
电子付款	dian zi fu kuan	13
电子出版	dian zi chu ban	7
电子函件地址	dian zi han jian di zhi	5
电子图书馆	dian zi tu shu guan	7
电子市场	dian zi shi chang	10
电子情报	dian zi qing bao	4
电子数据交换	dian zi shu ju jiao huan	14
电子文本	dian zi wen ben	31
电子服务	dian zi fu wu	6
电子杂志	dian zi za zhi	9
电子模块	dian zi mo kuai	7
电子相册	dian zi xiang ce	8
电子硬件	dian zi ying jian	9
电子线路	dian zi xian lu	48
电子设计	dian zi she ji	10
电子邮件营销	dian zi you jian ying xiao	10
电子金融	dian zi jin rong	12
电子银行业务	dian zi yin hang ye wu	6
电容式触摸屏	dian rong shi chu mo ping	20
电报码	dian bao ma	25
电机控制	dian ji kong zhi	29
电气性能	dian qi xing neng	17
电源总线	dian yuan zong xian	5
电脑使用	dian nao shi yong	11
电脑基础	dian nao ji chu	4
电脑技术	dian nao ji shu	9
电脑故障	dian nao gu zhang	33
电脑维修	dian nao wei xiu	39
电脑维护	dian nao wei hu	11
电脑设置	dian nao she zhi	36
电脑配置	dian nao pei zhi	17
电视会议	dian shi hui yi	7
电视盒子	dian shi he zi	45
电话拨号器	dian hua bo hao qi	1
电路交换网	dian lu jiao huan wang	1
电阻负载	dian zu fu zai	8
画图形	hua tu xing	3
画图板	hua tu ban	6
画图片	hua tu pian	1
画圆角矩形	hua yuan jiao ju xing	9
画家算法	hua jia suan fa	17
画矩形	hua ju xing	5
画面刷新率	hua mian shua xin lv	1
畅通工程	chang tong gong cheng	6
畅通工程续	chang tong gong cheng xu	9
界面优化	jie mian you hua	9
界面传值	jie mian chuan zhi	7
界面切换	jie mian qie huan	1
界面布局	jie mian bu ju	8
界面库	jie mian ku	4
界面开发	jie mian kai fa	7
界面效果	jie mian xiao guo	5
界面显示	jie mian xian shi	22
界面特效	jie mian te xiao	1
界面绘制	jie mian hui zhi	1
界面编程	jie mian bian cheng	1
界面美化	jie mian mei hua	9
界面跳转	jie mian tiao zhuan	1
留学申请	liu xue shen qing	8
番茄工作法	fan qie gong zuo fa	9
番茄花园	fan qie hua yuan	31
疑难解答	yi nan jie da	12
病毒分析	bing du fen xi	4
病毒木马	bing du mu ma	4
病毒防治	bing du fang zhi	6
登录拦截	deng lu lan jie	7
登录模式	deng lu mo shi	2
登录注册	deng lu zhu ce	6
登录界面	deng lu jie mian	42
登录脚本	deng lu jiao ben	4
登录页面	deng lu ye mian	14
登录验证	deng lu yan zheng	5
登陆注册	deng lu zhu ce	9
登陆界面	deng lu jie mian	16
登陆验证	deng lu yan zheng	11
白体	bai ti	5
白盒	bai he	28
白盒测试	bai he ce shi	33
白箱测试	bai xiang ce shi	4
白话经典算法	bai hua jing dian suan fa	10
百兆网卡	bai zhao wang ka	7
百分比布局	bai fen bi bu ju	10
百度云推送	bai du yun tui song	10
百度卫士	bai du wei shi	17
百度地图定位	bai du di tu ding wei	5
百度地图开发	bai du di tu kai fa	9
百度定位	bai du ding wei	2
百度工具栏	bai du gong ju lan	14
百度应用	bai du ying yong	2
百度推广	bai du tui guang	34
百度推送	bai du tui song	2
百度文库	bai du wen ku	47
百度旅游	bai du lv you	17
百度浏览器	bai du liu lan qi	23
百度离线地图	bai du li xian di tu	5
百度经验	bai du jing yan	9
百度编辑器	bai du bian ji qi	8
百度词典	bai du ci dian	3
百度魔拍	bai du mo pai	4
百练	bai lian	12
皮克定理	pi ke ding li	22
皮肤检测	pi fu jian ce	1
盈利模式	ying li mo shi	38
监听事件	jian ting shi jian	3
监听器	jian ting qi	28
监听模式	jian ting mo shi	12
监听键盘	jian ting jian pan	1
监控任务	jian kong ren wu	9
监控台	jian kong tai	2
监控告警	jian kong gao jing	8
监控工具	jian kong gong ju	13
监控方式	jian kong fang shi	1
监控程序	jian kong cheng xu	15
监测网络	jian ce wang luo	45
监督控制	jian du kong zhi	5
监视定时器	jian shi ding shi qi	5
监视数据	jian shi shu ju	9
监视状态	jian shi zhuang tai	7
盒子模型	he zi mo xing	11
盒式磁带	he shi ci dai	32
盒模型	he mo xing	49
盖写	gai xie	5
盘片组	pan pian zu	6
盘符	pan fu	17
目录排序	mu lu pai xu	2
目录操作	mu lu cao zuo	2
目录树	mu lu shu	28
目录配置	mu lu pei zhi	12
目标分类	mu biao fen lei	9
目标机	mu biao ji	12
目标检测	mu biao jian ce	14
目标目录	mu biao mu lu	16
目标程序	mu biao cheng xu	13
目标系统	mu biao xi tong	13
目标计算机	mu biao ji suan ji	17
目标识别	mu biao shi bie	41
目标跟踪	mu biao gen zong	39
目标路径	mu biao lu jing	2
目标集	mu biao ji	10
目标驱动	mu biao qu dong	2
盲目搜索	mang mu sou suo	3
直接寻址	zhi jie xun zhi	11
直接插入排序	zhi jie cha ru pai xu	13
直接映射	zhi jie ying she	25
直接模式	zhi jie mo shi	8
直播技术	zhi bo ji shu	8
直播流	zhi bo liu	18
直方图修正	zhi fang tu xiu zheng	6
直方图匹配	zhi fang tu pi pei	8
直方图均衡	zhi fang tu jun heng	9
直方图均衡化	zhi fang tu jun heng hua	24
直方图规定化	zhi fang tu gui ding hua	7
直线拟合	zhi xian ni he	9
直线检测	zhi xian jian ce	2
相互调用	xiang hu diao yong	2
相似度计算	xiang si du ji suan	4
相似性度量	xiang si xing du liang	17
相似性测度	xiang si xing ce du	4
