# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
红叱拨	hong chi bo	1
红月	hong yue	9
红音	hong yin	4
红音萤	hong yin ying	41
约瑟夫斯大林	yue se fu si da lin	3
约翰松	yue han song	8
约翰沃克	yue han wo ke	1
纪如璟	ji ru jing	9
纪容舒	ji rong shu	5
纪小龙	ji xiao long	6
纪敏佳	ji min jia	24
纪贞	ji zhen	6
纪远	ji yuan	3
纯情闪耀	chun qing shan yao	34
纳素夫	na su fu	2
纽兰兹	niu lan zi	31
细川智荣子	xi chuan zhi rong zi	11
经元善	jing yuan shan	16
结城聪	jie cheng cong	33
绝群	jue qun	13
绫波优	ling bo you	4
续桐溪	xu tong xi	3
维利莫维斯基	wei li mo wei si ji	2
维多利奥	wei duo li ao	30
维多利诺	wei duo li nuo	9
维尔塔宁	wei er ta ning	49
绿川英子	lv chuan ying zi	14
缪丹	miao dan	1
缪希雍	miao xi yong	6
缪昌期	miao chang qi	22
罗东进	luo dong jin	14
罗中旭	luo zhong xu	30
罗亨信	luo heng xin	6
罗京	luo jing	10
罗会祥	luo hui xiang	3
罗侨	luo qiao	2
罗允缵	luo yun zuan	1
罗兵	luo bing	9
罗典	luo dian	6
罗凤	luo feng	7
罗历戎	luo li rong	28
罗又伦	luo you lun	9
罗君强	luo jun qiang	27
罗国纲	luo guo gang	1
罗坤山	luo kun shan	7
罗学赞	luo xue zan	2
罗宾德拉纳特	luo bin de la na te	42
罗小卫	luo xiao wei	5
罗建文	luo jian wen	10
罗惇曧	luo dun rong	28
罗惇衍	luo dun yan	8
罗振宇	luo zhen yu	39
罗文俊	luo wen jun	6
罗斯金	luo si jin	6
罗晓莹	luo xiao ying	3
罗曼罗兰	luo man luo lan	25
罗永娟	luo yong juan	3
罗汝怀	luo ru huai	3
罗汝芳	luo ru fang	38
罗海琼	luo hai qiong	27
罗湘	luo xiang	5
罗点	luo dian	5
罗烈	luo lie	3
罗烜	luo xuan	3
罗玘	luo qi	29
罗璟	luo jing	6
罗盛教	luo sheng jiao	37
罗石冰	luo shi bing	15
罗礼贤	luo li xian	14
罗继祖	luo ji zu	7
罗聘	luo pin	33
罗肃	luo su	2
罗胤	luo yin	5
罗蛟	luo jiao	4
罗西北	luo xi bei	5
罗谦	luo qian	5
罗贤	luo xian	6
罗遵殿	luo zun dian	6
罗雪娟	luo xue juan	48
羌道	qiang dao	32
美内铃惠	mei nei ling hui	16
美川宪一	mei chuan xian yi	33
美稷	mei ji	19
美阳	mei yang	5
羽原大介	yu yuan da jie	16
羽根泰正	yu gen tai zheng	13
翁俊明	weng jun ming	48
翁同书	weng tong shu	27
翁子瑜	weng zi yu	2
翁心存	weng xin cun	43
翁森	weng sen	3
翁照	weng zhao	43
翁红	weng hong	5
翁良毓	weng liang yu	1
翁芝	weng zhi	5
翁萨格	weng sa ge	1
翟元	zhai yuan	6
翟勤	zhai qin	2
翟泉	zhai quan	15
翟灏	zhai hao	29
翟让	zhai rang	2
翠黄	cui huang	3
耶律隆绪	ye lv long xu	33
耿志炜	geng zhi wei	1
耿昭忠	geng zhao zhong	6
耿武	geng wu	14
耿渊	geng yuan	1
聂华苓	nie hua ling	38
聂夷中	nie yi zhong	8
聂豹	nie bao	46
聂铁文	nie tie wen	3
肖伯纳	xiao bo na	8
肖刚	xiao gang	7
肖利华	xiao li hua	5
肖劲	xiao jin	1
肖国栋	xiao guo dong	30
肖山令	xiao shan ling	2
肖峰	xiao feng	24
肖晓琳	xiao xiao lin	7
肖纪美	xiao ji mei	4
肖良志	xiao liang zhi	8
肖革联	xiao ge lian	3
胜保	sheng bao	4
胡一鹏	hu yi peng	2
胡万春	hu wan chun	1
胡世宁	hu shi ning	41
胡世昌	hu shi chang	6
胡世荣	hu shi rong	1
胡中玉	hu zhong yu	2
胡介祉	hu jie zhi	1
胡以晃	hu yi huang	23
胡伯翰	hu bo han	27
胡俊翔	hu jun xiang	2
胡俨	hu yan	34
胡元倓	hu yuan tan	15
胡冲	hu chong	20
胡凤丹	hu feng dan	2
胡凯莉	hu kai li	44
胡前	hu qian	3
胡助	hu zhu	2
胡华	hu hua	8
胡卫民	hu wei min	7
胡唐	hu tang	3
胡喆	hu zhe	9
胡嘉言	hu jia yan	3
胡因梦	hu yin meng	12
胡国栋	hu guo dong	11
胡坚	hu jian	7
胡大一	hu da yi	1
胡大文	hu da wen	3
胡奇	hu qi	7
胡宗仁	hu zong ren	3
胡宗华	hu zong hua	3
胡宗成	hu zong cheng	2
胡家凤	hu jia feng	7
胡密	hu mi	3
胡居仁	hu ju ren	14
胡峻	hu jun	8
胡希	hu xi	7
胡庆阳	hu qing yang	1
胡底	hu di	39
胡康民	hu kang min	2
胡廷	hu ting	3
胡志仁	hu zhi ren	4
胡才	hu cai	5
胡承诺	hu cheng nuo	4
胡方平	hu fang ping	1
胡旦	hu dan	19
胡春玲	hu chun ling	5
胡春生	hu chun sheng	14
胡晓光	hu xiao guang	16
胡智锋	hu zhi feng	2
胡有猷	hu you you	1
胡根天	hu gen tian	11
胡桂	hu gui	35
胡梅	hu mei	6
胡正栋	hu zheng dong	2
胡正言	hu zheng yan	18
胡永年	hu yong nian	4
胡汝嘉	hu ru jia	3
胡泰	hu tai	4
胡泳	hu yong	27
胡泽红	hu ze hong	7
胡渊	hu yuan	21
胡澍	hu shu	5
胡灵	hu ling	6
胡炳文	hu bing wen	7
胡然	hu ran	32
胡煦	hu xu	7
胡照	hu zhao	4
胡燕妮	hu yan ni	34
胡玉琦	hu yu qi	2
胡珏	hu jue	5
胡班	hu ban	4
胡琛	hu chen	23
胡璞	hu pu	2
胡百昌	hu bai chang	2
胡直	hu zhi	2
胡紫薇	hu zi wei	7
胡缵宗	hu zuan zong	42
胡艳	hu yan	11
胡节	hu jie	3
胡谊	hu yi	1
胡达源	hu da yuan	9
胡鄂公	hu e gong	42
胡隽	hu jun	2
胡雪峰	hu xue feng	33
胡震	hu zhen	23
胡震亨	hu zhen heng	30
胡鞍钢	hu an gang	44
胥浦	xu pu	46
脂习	zhi xi	9
臧启芳	zang qi fang	44
臧天朔	zang tian shuo	39
舒乙	shu yi	45
舒位	shu wei	4
舒健	shu jian	2
舒县	shu xian	3
舒天	shu tian	4
舒巧	shu qiao	6
舒庆春	shu qing chun	4
舒新城	shu xin cheng	26
舒浩	shu hao	4
舒绣文	shu xiu wen	35
舒荣	shu rong	39
舒高	shu gao	5
舜天齐	shun tian qi	1
般阳	ban yang	14
船越英一郎	chuan yue ying yi lang	37
艾县	ai xian	2
艾小羊	ai xiao yang	7
艾敬	ai jing	31
艾昕	ai xin	5
艾梦萌	ai meng meng	15
艾芜	ai wu	43
节文	jie wen	4
芙蓉姐姐	fu rong jie jie	26
花信风	hua xin feng	8
花永	hua yong	4
芹洋子	qin yang zi	21
苏六朋	su liu peng	11
苏叔阳	su shu yang	7
苏和	su he	8
苏培科	su pei ke	1
苏士澍	su shi shu	20
苏宣	su xuan	6
苏廷玉	su ting yu	27
苏新	su xin	8
苏昊	su hao	4
苏昕	su xin	1
苏杰	su jie	9
苏武	su wu	9
苏殷	su yin	3
苏浚	su jun	15
苏瑾	su jin	19
苏祥	su xiang	5
苏章	su zhang	4
苏答应	su da ying	1
苏翊杰	su yi jie	26
苏胜	su sheng	6
苏舜钦	su shun qin	38
苏芳	su fang	5
苏越	su yue	8
苏过	su guo	5
苏钲	su zheng	2
苏飞	su fei	7
苑田勇一	yuan tian yong yi	7
苗利明	miao li ming	1
苗朝阳	miao chao yang	3
苗永鹏	miao yong peng	2
苗泽	miao ze	20
苗炜	miao wei	3
苗立杰	miao li jie	18
若槻千夏	ruo gui qian xia	46
英布	ying bu	6
范之杰	fan zhi jie	2
范任	fan ren	4
范健	fan jian	11
范光阳	fan guang yang	4
范启	fan qi	13
范咸	fan xian	35
范小冲	fan xiao chong	7
范少卿	fan shao qing	2
范常	fan chang	3
范成	fan cheng	5
范承谟	fan cheng mo	29
范振绪	fan zhen xu	13
范摅	fan shu	8
范文成	fan wen cheng	3
范文英	fan wen ying	3
范昶	fan chang	2
范景文	fan jing wen	28
范曾	fan zeng	10
范松	fan song	4
范永祺	fan yong qi	2
范洪	fan hong	28
范涞	fan lai	8
范炳	fan bing	10
范猛	fan meng	4
范理	fan li	3
范瑞芳	fan rui fang	1
范疆	fan jiang	7
范紫东	fan zi dong	3
范绍增	fan shao zeng	44
范萍	fan ping	1
范锋	fan feng	1
范锴	fan kai	8
范鸿达	fan hong da	4
茅坤	mao kun	48
茅阳	mao yang	7
茶圣	cha sheng	8
荀况	xun kuang	20
荀恽	xun yun	18
荀正	xun zheng	9
荆歌	jing ge	1
荆浩	jing hao	39
草剪刚	cao jian gang	11
荒木由美子	huang mu you mei zi	11
荣松	rong song	3
荣柱	rong zhu	8
荣霖	rong lin	2
药圣	yao sheng	5
荻野真	di ye zhen	33
莉香	li xiang	5
莫万丹	mo wan dan	2
莫乃倩	mo nai qian	2
莫合买提	mo he mai ti	27
莫应丰	mo ying feng	17
莫德格玛	mo de ge ma	8
莫洛亚	mo luo ya	13
莫罕达斯	mo han da si	15
莫罗阿	mo luo a	3
莱博维茨	lai bo wei ci	14
莱昂尼达斯	lai ang ni da si	14
莱纳特	lai na te	46
莱茵克尔	lai yin ke er	4
莲佛美沙子	lian fo mei sha zi	44
菅田俊	jian tian jun	19
菊地凛子	ju di lin zi	43
菊川怜	ju chuan lian	34
菊池智子	ju chi zhi zi	2
菲洛尔	fei luo er	10
营道	ying dao	3
萧三	xiao san	6
萧乾	xiao qian	45
萧云从	xiao yun cong	8
萧公权	xiao gong quan	45
萧军	xiao jun	8
萧博仁	xiao bo ren	8
萧培元	xiao pei yuan	1
萧庄	xiao zhuang	48
萧德藻	xiao de zao	6
萧晨	xiao chen	1
萧淑慎	xiao shu shen	33
萧灼基	xiao zhuo ji	20
萧燕	xiao yan	18
萧秋水	xiao qiu shui	14
萧良有	xiao liang you	9
萧道管	xiao dao guan	2
萧长华	xiao chang hua	20
萧鼎	xiao ding	47
萧龙友	xiao long you	13
萨文	sa wen	6
萨本栋	sa ben dong	48
葛存壮	ge cun zhuang	27
葛昕	ge xin	3
葛红兵	ge hong bing	21
葛维蒲	ge wei pu	2
葛越	ge yue	3
葛雍	ge yong	8
葛震	ge zhen	3
董仲书	dong zhong shu	3
董份	dong fen	16
董勇	dong yong	30
董厥	dong jue	26
董含	dong han	5
董和	dong he	6
董国兴	dong guo xing	2
董国政	dong guo zheng	3
董大	dong da	6
董太后	dong tai hou	47
董学群	dong xue qun	3
董宗祈	dong zong qi	2
董宜阳	dong yi yang	1
董恂	dong xun	12
董文华	dong wen hua	34
董旭彬	dong xu bin	3
董旻	dong min	25
董易林	dong yi lin	4
董朗	dong lang	5
董朝	dong chao	20
董榕	dong rong	30
董沛	dong pei	21
董波	dong bo	8
董海超	dong hai chao	4
董炳	dong bing	34
董煜	dong yu	7
董燧	dong sui	2
董白	dong bai	4
董石才	dong shi cai	3
董祀	dong si	18
董维	dong wei	31
董藩	dong fan	1
董行佶	dong xing ji	15
董衡	dong heng	28
董讷	dong ne	9
董路	dong lu	21
董辰生	dong chen sheng	1
董邦达	dong bang da	18
葵实野理	kui shi ye li	3
蒋一葵	jiang yi kui	14
蒋举	jiang ju	7
蒋仁	jiang ren	42
蒋仪	jiang yi	3
蒋伊	jiang yi	3
蒋信	jiang xin	3
蒋元益	jiang yuan yi	2
蒋先云	jiang xian yun	35
蒋光煦	jiang guang xu	7
蒋全胜	jiang quan sheng	6
蒋博	jiang bo	3
蒋和	jiang he	7
蒋国榜	jiang guo bang	2
蒋坦	jiang tan	11
蒋士铨	jiang shi quan	48
蒋奇	jiang qi	28
蒋子龙	jiang zi long	27
蒋宝龄	jiang bao ling	2
蒋峰	jiang feng	1
蒋嵩	jiang song	4
蒋川	jiang chuan	19
蒋希曾	jiang xi zeng	1
蒋延	jiang yan	35
蒋彪	jiang biao	4
蒋恺	jiang kai	19
蒋惠	jiang hui	13
蒋攸铦	jiang you xian	37
蒋敬	jiang jing	16
蒋文平	jiang wen ping	1
蒋显	jiang xian	32
蒋月泉	jiang yue quan	10
蒋汝藻	jiang ru zao	5
蒋泽中	jiang ze zhong	4
蒋深	jiang shen	2
蒋溥	jiang pu	26
蒋炳	jiang bing	30
蒋煜	jiang yu	2
蒋理	jiang li	5
蒋能	jiang neng	5
蒋舒	jiang shu	36
蒋衡	jiang heng	14
蒋贵	jiang gui	38
蒋进	jiang jin	31
蒋锄欧	jiang chu ou	3
蒋骥	jiang ji	23
蒙文通	meng wen tong	33
蒙田	meng tian	8
蒯祥	kuai xiang	19
蒲子	pu zi	4
蒲洋	pu yang	2
蓝东	lan dong	3
蓝沁	lan qin	3
蓝涛	lan tao	5
蓝瑛	lan ying	29
蓝祖蔚	lan zu wei	29
蓝马	lan ma	7
蔡世远	cai shi yuan	7
蔡中	cai zhong	7
蔡为民	cai wei min	8
蔡亚林	cai ya lin	5
蔡会文	cai hui wen	22
蔡博	cai bo	5
蔡发	cai fa	3
蔡含	cai han	2
蔡和	cai he	8
蔡哀侯	cai ai hou	40
蔡哲夫	cai zhe fu	3
蔡国珍	cai guo zhen	10
蔡婧	cai jing	5
蔡子华	cai zi hua	4
蔡孟君	cai meng jun	1
蔡宇翔	cai yu xiang	5
蔡廷兰	cai ting lan	41
蔡建中	cai jian zhong	5
蔡建忠	cai jian zhong	3
蔡忠诚	cai zhong cheng	4
蔡文胜	cai wen sheng	12
蔡新	cai xin	6
蔡昉	cai fang	17
蔡智堪	cai zhi kan	17
蔡林蒸	cai lin zheng	1
蔡根	cai gen	3
蔡格	cai ge	2
蔡欢	cai huan	4
蔡泽	cai ze	3
蔡海山	cai hai shan	1
蔡渊	cai yuan	19
蔡潮	cai chao	10
蔡照明	cai zhao ming	3
蔡琼	cai qiong	34
蔡福如	cai fu ru	2
蔡绦	cai tao	19
蔡羽	cai yu	10
蔡远	cai yuan	4
蔡道宪	cai dao xian	6
蔡长沄	cai chang yun	4
蔡鸿岩	cai hong yan	5
蔺玉红	lin yu hong	5
蔺瑶	lin yao	3
蕃学	fan xue	25
薛乔	xue qiao	5
薛佳凝	xue jia ning	32
薛侃	xue kan	23
薛兆英	xue zhao ying	3
薛兰	xue lan	3
薛凤祚	xue feng zuo	23
薛则	xue ze	3
薛夫彬	xue fu bin	4
薛季宣	xue ji xuan	17
薛居正	xue ju zheng	48
薛承基	xue cheng ji	2
薛文强	xue wen qiang	5
薛时雨	xue shi yu	10
薛澍	xue shu	3
薛焕	xue huan	25
薛玉洋	xue yu yang	14
薛绍彭	xue shao peng	6
薛绍徽	xue shao hui	1
薛蕙	xue hui	10
薛论道	xue lun dao	13
薛雪	xue xue	14
藤井莉娜	teng jing li na	24
藤北彩香	teng bei cai xiang	30
藤川优里	teng chuan you li	5
藤泽周平	teng ze zhou ping	41
藤田惠美	teng tian hui mei	14
藤田真	teng tian zhen	2
虞人	yu ren	5
虞堪	yu kan	2
虞松	yu song	33
虞梅	yu mei	1
虞泳	yu yong	2
虞洋	yu yang	3
虹影	hong ying	25
蛯原友里	lao yuan you li	17
蜜雪薇琪	mi xue wei qi	19
行一	xing yi	11
衣笠贞之助	yi li zhen zhi zhu	34
袁一泓	yuan yi hong	3
袁世海	yuan shi hai	33
袁中道	yuan zhong dao	45
袁也烈	yuan ye lie	41
袁佑	yuan you	3
袁兆庄	yuan zhao zhuang	3
袁嘉谷	yuan jia gu	32
袁婷	yuan ting	1
袁媛	yuan yuan	21
袁守侗	yuan shou dong	10
袁宗道	yuan zong dao	33
袁家骝	yuan jia liu	39
袁岳	yuan yue	12
袁峻	yuan jun	7
袁希涛	yuan xi tao	21
袁廷梼	yuan ting tao	4
袁征	yuan zheng	23
袁晓园	yuan xiao yuan	25
袁树	yuan shu	26
袁树勋	yuan shu xun	43
袁桐	yuan tong	11
袁桷	yuan jue	28
袁梦	yuan meng	21
袁水拍	yuan shui pai	17
袁泓	yuan hong	4
袁燮	yuan xie	41
袁牧之	yuan mu zhi	45
袁瑛	yuan ying	6
袁瑞良	yuan rui liang	3
袁甫	yuan fu	22
袁登道	yuan deng dao	2
袁端	yuan duan	8
袁紫衣	yuan zi yi	38
袁耀	yuan yao	43
袁胤	yuan yin	30
袁茂峰	yuan mao feng	2
袁褧	yuan jiong	3
袁达	yuan da	4
袁野	yuan ye	27
袁雨来	yuan yu lai	3
袁鸣	yuan ming	20
袁鹰	yuan ying	17
袁黄	yuan huang	4
裴元庆	pei yuan qing	20
裴应章	pei ying zhang	2
裴怀亮	pei huai liang	15
裴文中	pei wen zhong	42
裴斯泰洛齐	pei si tai luo qi	48
裴景福	pei jing fu	6
裴绪	pei xu	3
裴远颖	pei yuan ying	4
裴钰	pei yu	9
褚人获	chu ren huo	40
褚师	chu shi	41
褚德彝	chu de yi	6
褚爽	chu shuang	18
西域马	xi yu ma	1
西尾由佳理	xi wei you jia li	11
西崎崇子	xi qi chong zi	17
西蒙玻利瓦尔	xi meng bo li wa er	12
西贝斯	xi bei si	3
西辽	xi liao	5
西鄂	xi e	4
要润	yao run	7
覃异之	qin yi zhi	41
覃彪喜	qin biao xi	2
观月雏乃	guan yue chu nai	8
觉堂	jue tang	34
解固基	jie gu ji	1
解小东	xie xiao dong	5
言穆江	yan mu jiang	1
言菊朋	yan ju peng	38
詹景凤	zhan jing feng	2
计楠	ji nan	1
议功	yi gong	7
议宾	yi bin	3
许乃普	xu nai pu	30
许乃钊	xu nai zhao	8
许之衡	xu zhi heng	4
许云峰	xu yun feng	7
许仲琳	xu zhong lin	22
许元溥	xu yuan pu	2
许初	xu chu	3
许华	xu hua	8
许南英	xu nan ying	43
许县	xu xian	6
许善达	xu shan da	4
许均	xu jun	5
许增	xu zeng	16
许孚远	xu fu yuan	17
许安安	xu an an	12
许尚	xu shang	22
许川	xu chuan	7
许建阳	xu jian yang	5
许惠	xu hui	3
许慈	xu ci	21
许戈辉	xu ge hui	22
许承宣	xu cheng xuan	1
许承尧	xu cheng yao	11
许文学	xu wen xue	4
许昭	xu zhao	2
许昱华	xu yu hua	15
许晓静	xu xiao jing	6
许朝	xu chao	3
许桂林	xu gui lin	2
许梿	xu lian	4
许汜	xu si	37
许波	xu bo	8
许瀚	xu han	20
许珍	xu zhen	6
许珏	xu jue	16
许琛	xu chen	11
许由	xu you	6
许知远	xu zhi yuan	32
许纯美	xu chun mei	40
许继慎	xu ji shen	48
许缵曾	xu zuan zeng	12
许肇南	xu zhao nan	6
许自昌	xu zi chang	6
许芝	xu zhi	18
许虹	xu hong	7
许观	xu guan	11
许达然	xu da ran	11
许还幻	xu huan huan	11
许遇	xu yu	6
许银川	xu yin chuan	34
许飞	xu fei	9
证停	zheng ting	6
诸宸	zhu chen	28
诸葛均	zhu ge jun	33
诸葛尚	zhu ge shang	35
诸葛玄	zhu ge xuan	41
诸葛绪	zhu ge xu	48
诸闻韵	zhu wen yun	11
诺盛	nuo sheng	4
读鞫	du ju	2
谈歌	tan ge	5
谋圣	mou sheng	6
谌容	chen rong	15
谌湛溪	chen zhan xi	1
谢业枧	xie ye jian	2
谢东娜	xie dong na	6
谢亚芳	xie ya fang	6
谢六逸	xie liu yi	18
谢兰生	xie lan sheng	5
谢军	xie jun	10
谢冠生	xie guan sheng	49
谢卓森	xie zhuo sen	2
谢向荣	xie xiang rong	4
谢园	xie yuan	6
谢国文	xie guo wen	2
谢国桢	xie guo zhen	32
谢堂	xie tang	3
谢娟	xie juan	2
谢寿康	xie shou kang	25
谢小双	xie xiao shuang	6
谢岿	xie kui	5
谢希德	xie xi de	49
谢平	xie ping	9
谢庄	xie zhuang	6
谢应芳	xie ying fang	4
谢思明	xie si ming	14
谢振定	xie zhen ding	11
谢旌	xie jing	6
谢时臣	xie shi chen	9
谢晓亮	xie xiao liang	17
谢有顺	xie you shun	7
谢榛	xie zhen	21
谢武	xie wu	7
谢洪赉	xie hong lai	4
谢济世	xie ji shi	31
谢玉琼	xie yu qiong	3
谢石	xie shi	7
谢石钦	xie shi qin	4
谢硕文	xie shuo wen	2
谢缙	xie jin	3
谢翱	xie ao	47
谢良	xie liang	6
谢观	xie guan	11
谢贯一	xie guan yi	17
谢远定	xie yuan ding	1
谢鑫	xie xin	41
谢雄	xie xiong	5
谢雨欣	xie yu xin	10
谢靖	xie jing	26
谢颖颖	xie ying ying	9
谢飞	xie fei	10
谦妃	qian fei	19
谭一平	tan yi ping	3
谭中军	tan zhong jun	4
谭元春	tan yuan chun	33
谭勇	tan yong	8
谭善	tan shan	37
谭处端	tan chu duan	47
谭泽闿	tan ze kai	5
谭炎午	tan yan wu	2
谭献	tan xian	23
谭莹	tan ying	14
谭迁	tan qian	4
谭邦林	tan bang lin	1
谭雄	tan xiong	11
谭颖	tan ying	22
谭飞	tan fei	4
谷利	gu li	3
谷口治郎	gu kou zhi lang	28
谷清	gu qing	4
豫章王萧栋	yu zhang wang xiao dong	23
貂禅	diao chan	5
贝尔戈米	bei er ge mi	17
贝贝托	bei bei tuo	30
贝阿尔佐特	bei a er zuo te	19
贝青乔	bei qing qiao	3
贡云峰	gong yun feng	2
贯云石	guan yun shi	11
贯地谷诗穗梨	guan di gu shi sui li	28
贵姬	gui ji	2
贵由	gui you	3
费丹旭	fei dan xu	10
费伯雄	fei bo xiong	2
费俊	fei jun	4
费公直	fei gong zhi	3
费夫尔	fei fu er	26
费恩曼	fei en man	26
费观	fei guan	2
费誓	fei shi	7
贺均	he jun	3
贺宽	he kuan	5
贺熙龄	he xi ling	14
贺金声	he jin sheng	3
贺钦	he qin	8
贺钧	he jun	1
贺铸	he zhu	23
贺长龄	he chang ling	38
贾一平	jia yi ping	16
贾三近	jia san jin	16
贾丹	jia dan	27
贾作光	jia zuo guang	4
贾卧龙	jia wo long	6
贾可	jia ke	5
贾培之	jia pei zhi	4
贾妮	jia ni	22
贾妮妮	jia ni ni	1
贾岛	jia dao	7
贾思勰	jia si xie	42
贾昊	jia hao	1
贾植芳	jia zhi fang	17
贾正	jia zheng	4
贾汉复	jia han fu	10
贾洪林	jia hong lin	4
贾知若	jia zhi ruo	7
贾铭	jia ming	6
贾鹏雷	jia peng lei	5
赖传湘	lai chuan xiang	8
赖佳微	lai jia wei	22
赖先	lai xian	3
赖名汤	lai ming tang	42
赖恭	lai gong	49
赖际熙	lai ji xi	48
赢驷	ying si	4
赤名莉香	chi ming li xiang	8
赫尔巴特	he er ba te	49
赫施巴赫	he shi ba he	22
赭白	zhe bai	11
赵万里	zhao wan li	46
赵丙	zhao bing	10
赵丰邦	zhao feng bang	31
赵丽宏	zhao li hong	13
赵乃抟	zhao nai tuan	1
赵之琛	zhao zhi chen	16
赵之谦	zhao zhi qian	42
赵令畴	zhao ling chou	1
赵以文	zhao yi wen	1
赵以炯	zhao yi jiong	3
赵传	zhao chuan	9
赵佑	zhao you	33
赵信	zhao xin	7
赵倩	zhao qian	41
赵光喜	zhao guang xi	3
赵冠芳	zhao guan fang	5
赵凤仪	zhao feng yi	3
赵凤翔	zhao feng xiang	11
赵勇刚	zhao yong gang	6
赵半山	zhao ban shan	31
赵半狄	zhao ban di	1
赵南哲	zhao nan zhe	27
赵原	zhao yuan	6
赵又新	zhao you xin	20
赵吉士	zhao ji shi	8
赵启霖	zhao qi lin	15
赵咨	zhao zi	35
赵善津	zhao shan jin	22
赵国荣	zhao guo rong	18
赵基	zhao ji	4
赵士祯	zhao shi zhen	2
赵士麟	zhao shi lin	6
赵备	zhao bei	5
赵大晋	zhao da jin	2
赵大贤	zhao da xian	3
赵天卫	zhao tian wei	3
赵姝	zhao shu	6
赵媛媛	zhao yuan yuan	10
赵安平	zhao an ping	1
赵完璧	zhao wan bi	35
赵家骧	zhao jia xiang	48
赵宽	zhao kuan	22
赵岑	zhao cen	14
赵师秀	zhao shi xiu	29
赵干	zhao gan	5
赵广	zhao guang	5
赵庆阁	zhao qing ge	3
赵廞	zhao xin	2
赵弼	zhao bi	13
赵怀业	zhao huai ye	1
赵怀玉	zhao huai yu	26
赵思敬	zhao si jing	2
赵懿	zhao yi	14
赵成穆	zhao cheng mu	1
赵执信	zhao zhi xin	27
赵承佑	zhao cheng you	3
赵文哲	zhao wen zhe	9
赵新宇	zhao xin yu	1
赵时春	zhao shi chun	15
赵昉	zhao fang	13
赵明阳	zhao ming yang	1
赵昭	zhao zhao	31
赵显宏	zhao xian hong	2
赵晓明	zhao xiao ming	16
赵普	zhao pu	10
赵景深	zhao jing shen	32
赵智凤	zhao zhi feng	8
赵曾	zhao zeng	6
赵月	zhao yue	7
赵桐珊	zhao tong shan	8
赵梦朱	zhao meng zhu	3
赵汉	zhao han	4
赵汉乘	zhao han cheng	44
赵沨	zhao feng	33
赵泰来	zhao tai lai	4
赵济羹	zhao ji geng	12
赵浩	zhao hao	31
赵浩生	zhao hao sheng	5
赵海川	zhao hai chuan	3
赵渭滨	zhao wei bin	11
赵灿	zhao can	12
赵炳麟	zhao bing lin	26
赵牧	zhao mu	22
赵玉芬	zhao yu fen	16
赵琛	zhao chen	42
赵畇	zhao yun	13
赵秉冲	zhao bing chong	2
赵秉忠	zhao bing zhong	22
赵立凡	zhao li fan	1
赵素	zhao su	2
赵统	zhao tong	27
赵维德	zhao wei de	2
赵舒翘	zhao shu qiao	29
赵良璋	zhao liang zhang	2
赵艳	zhao yan	19
赵苍璧	zhao cang bi	28
赵莲	zhao lian	8
赵虹	zhao hong	23
赵融	zhao rong	28
赵观涛	zhao guan tao	29
赵贞吉	zhao zhen ji	29
赵赵	zhao zhao	7
赵起	zhao qi	6
赵超构	zhao chao gou	37
赵越	zhao yue	10
赵连芳	zhao lian fang	18
赵野	zhao ye	10
赵鑫珊	zhao xin shan	3
赵鑫鑫	zhao xin xin	12
赵铨	zhao quan	5
赵锡田	zhao xi tian	24
赵陀	zhao tuo	10
赵青	zhao qing	49
赵音奇	zhao yin qi	1
赵颜	zhao yan	7
赵高	zhao gao	7
赵龙	zhao long	10
赵龙文	zhao long wen	16
越影	yue ying	6
路嘉怡	lu jia yi	25
路大荒	lu da huang	4
路振飞	lu zhen fei	24
车万育	che wan yu	9
车书	che shu	6
车令	che ling	9
车径行	che jing xing	1
车正	che zheng	11
车泽武	che ze wu	7
车胄	che zhou	25
载澜	zai lan	33
辛全	xin quan	4
辛德拉尔	xin de la er	20
辛明	xin ming	7
辛柏青	xin bai qing	32
辛逸	xin yi	2
辟兵	bi bing	23
辨喜	bian xi	10
辰巳奈都子	chen si nai du zi	18
边伟	bian wei	3
边让	bian rang	8
边贡	bian gong	20
达娃	da wa	8
达曾	da zeng	4
达洪阿	da hong a	36
达海林	da hai lin	1
达礼	da li	5
达萨耶夫	da sa ye fu	9
达贝妮	da bei ni	3
达鉴	da jian	2
迁陵	qian ling	43
迈耶尔	mai ye er	33
近野成美	jin ye cheng mei	18
远涌	yuan yong	9
连歌	lian ge	7
连阔如	lian kuo ru	11
迟万春	chi wan chun	18
迟帅	chi shuai	47
迟福林	chi fu lin	8
迟重瑞	chi zhong rui	22
迮朗	ze lang	3
迷当	mi dang	3
通容	tong rong	29
通文	tong wen	5
速水重道	su shui zhong dao	1
逾辉	yu hui	8
遂城	sui cheng	5
遇晗	yu han	3
邓义	deng yi	3
邓九云	deng jiu yun	13
邓予立	deng yu li	1
邓传安	deng chuan an	24
邓传密	deng chuan mi	1
邓加	deng jia	8
邓友梅	deng you mei	12
邓大林	deng da lin	3
邓婕	deng jie	40
邓实	deng shi	16
邓家彦	deng jia yan	25
邓希贤	deng xi xian	7
邓建国	deng jian guo	5
邓志谟	deng zhi mo	18
邓怀农	deng huai nong	3
邓惠芳	deng hui fang	1
邓散木	deng san mu	27
邓文宪	deng wen xian	3
邓昌友	deng chang you	30
