# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
刘齐	liu qi	6
刘龙田	liu long tian	2
刚秋英	gang qiu ying	2
初元	chu yuan	6
利智	li zhi	7
别尔嘉耶夫	bie er jia ye fu	10
别拉诺夫	bie la nuo fu	40
前川清	qian chuan qing	29
前田刚	qian tian gang	41
前田有纪	qian tian you ji	17
剔成	ti cheng	47
加林查	jia lin cha	30
加藤惠	jia teng hui	20
加藤爱	jia teng ai	3
加藤登纪子	jia teng deng ji zi	48
加藤绫子	jia teng ling zi	29
加藤罗莎	jia teng luo sha	44
加藤雅也	jia teng ya ye	25
励守谦	li shou qian	2
励宗万	li zong wan	9
劳之辨	lao zhi bian	2
劳史	lao shi	3
劳干	lao gan	2
劳春燕	lao chun yan	20
劳格	lao ge	3
勃劳希契	bo lao xi qi	2
包世臣	bao shi chen	49
包冉	bao ran	6
化方	hua fang	4
北乃纪伊	bei nai ji yi	39
匡斌	kuang bin	8
区大相	ou da xiang	8
区星	ou xing	3
半野喜弘	ban ye xi hong	6
华之鸿	hua zhi hong	4
华以刚	hua yi gang	13
华允诚	hua yun cheng	13
华学明	hua xue ming	18
华察	hua cha	38
华岱	hua dai	1
华恩	hua en	5
华文漪	hua wen yi	23
华栋	hua dong	28
华核	hua he	2
华沅	hua yuan	2
华瀚	hua han	7
华燧	hua sui	12
华珵	hua cheng	1
华益慰	hua yi wei	5
华秋苹	hua qiu ping	23
华纯	hua chun	4
华铨	hua quan	2
华雄	hua xiong	7
华黎明	hua li ming	4
卓秉恬	zhuo bing tian	21
单之蔷	shan zhi qiang	4
单士兵	dan shi bing	3
单大伟	dan da wei	5
单宇	dan yu	3
单希征	shan xi zheng	4
单炜	shan wei	1
单田芳	shan tian fang	42
单霞丽	shan xia li	6
南佳也	nan jia ye	16
南凉	nan liang	4
南宫民	nan gong min	15
南弘	nan hong	3
南明奈	nan ming nai	48
南海道	nan hai dao	5
博县	bo xian	3
博尔忽	bo er hu	49
博巴	bo ba	4
博明	bo ming	5
博涅克	bo nie ke	22
卜凤波	bu feng bo	2
卞喜	bian xi	12
卞永誉	bian yong yu	13
卞秉彬	bian bing bin	2
占旭刚	zhan xu gang	30
占西女王	zhan xi nv wang	2
卡尔马克思	ka er ma ke si	23
卡尼吉亚	ka ni ji ya	9
卡纳斯	ka na si	5
卡雷卡	ka lei ka	39
卢世昌	lu shi chang	12
卢仝	lu tong	42
卢伦	lu lun	2
卢冬生	lu dong sheng	42
卢南樵	lu nan qiao	13
卢同	lu tong	5
卢周来	lu zhou lai	1
卢宇光	lu yu guang	6
卢广伟	lu guang wei	5
卢志	lu zhi	5
卢志强	lu zhi qiang	24
卢怀慎	lu huai shen	30
卢正雨	lu zheng yu	11
卢求	lu qiu	3
卢洪春	lu hong chun	7
卢潮	lu chao	2
卢照龄	lu zhao ling	3
卢琦	lu qi	21
卢致德	lu zhi de	16
卢逊	lu xun	17
卢镐	lu hao	8
卢鸿杰	lu hong jie	3
卢龙塞	lu long sai	10
卫仲道	wei zhong dao	9
卫康叔	wei kang shu	42
卫弘	wei hong	6
卫慧	wei hui	15
卫懿公	wei yi gong	36
卫桓公	wei huan gong	45
卫武公	wei wu gong	24
卫王	wei wang	4
印建坤	yin jian kun	4
危素	wei su	31
卿士	qing shi	4
厂卫	chang wei	47
厉娜	li na	24
厉志	li zhi	32
厉晓秋	li xiao qiu	3
原济	yuan ji	3
原由子	yuan you zi	45
原纱央莉	yuan sha yang li	45
原鹿	yuan lu	4
叔向	shu xiang	6
古华	gu hua	8
古多尔	gu duo er	18
古宇	gu yu	3
古月	gu yue	9
古灵益	gu ling yi	49
古谷实	gu gu shi	25
可韵	ke yun	3
史东山	shi dong shan	32
史冬鹏	shi dong peng	10
史善长	shi shan chang	5
史圣	shi sheng	7
史培	shi pei	3
史大成	shi da cheng	11
史孟麟	shi meng lin	12
史小诺	shi xiao nuo	13
史康	shi kang	3
史文	shi wen	7
史明	shi ming	8
史淑华	shi shu hua	3
史琳杰	shi lin jie	6
史良	shi liang	8
史谨	shi jin	2
史贻直	shi yi zhi	28
史鉴	shi jian	33
史震林	shi zhen lin	4
史鹏	shi peng	7
叶一茜	ye yi qian	45
叶为铭	ye wei ming	1
叶丽美	ye li mei	3
叶乔波	ye qiao bo	14
叶伯英	ye bo ying	6
