# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
七零八碎	qi ling ba sui	5
七零八落	qi ling ba luo	65
七龙	qi long	112
七龙珠	qi long zhu	3603
万	mo	13416
万	wan	268322
万一	wan yi	9824
万万	wan wan	1782
万丈	wan zhang	602
万丈深渊	wan zhang shen yuan	51
万不得已	wan bu de yi	172
万世	wan shi	820
万世师表	wan shi shi biao	69
万事	wan shi	1965
万事亨通	wan shi heng tong	5
万事俱备	wan shi ju bei	97
万事大吉	wan shi da ji	155
万事如意	wan shi ru yi	1438
万事屋	wan shi wu	760
万事胜意	wan shi sheng yi	499
万事达	wan shi da	339
万事通	wan shi tong	161
万亩	wan mu	2523
万人坑	wan ren keng	205
万人空巷	wan ren kong xiang	86
万亿	wan yi	1399
万代	wan dai	2929
万令	wan ling	6
万令吉	wan ling ji	1113
万份	wan fen	2859
万众	wan zhong	562
万众一心	wan zhong yi xin	91
万余	wan yu	3945
万余人	wan yu ren	3257
万倍	wan bei	669
万儿八千	wan er ba qian	12
万元	wan yuan	30137
万元户	wan yuan hu	56
万全	wan quan	672
万全之策	wan quan zhi ce	37
万兴	wan xing	381
万册	wan ce	2345
万分	wan fen	2396
万劫不复	wan jie bu fu	212
万千	wan qian	3276
万华	wan hua	2195
万历	wan li	7507
万历三	wan li san	384
万历三十	wan li san shi	3429
万历二	wan li er	766
万历二十	wan li er shi	4128
万历五	wan li wu	389
万历五年	wan li wu nian	659
万历八	wan li ba	336
万历八年	wan li ba nian	555
万历十	wan li shi	1548
万历十三	wan li shi san	602
万历十六	wan li shi liu	652
万历十四	wan li shi si	582
万历四	wan li si	507
万历四十	wan li si shi	3551
万县	wan xian	636
万县市	wan xian shi	109
万古	wan gu	349
万古流芳	wan gu liu fang	48
万古长青	wan gu chang qing	33
万古霉素	wan gu mei su	202
万吨	wan dun	8173
万国	wan guo	2547
万圣	wan sheng	441
万圣节	wan sheng jie	2271
万块	wan kuai	673
万块钱	wan kuai qian	330
万塔	wan ta	223
万套	wan tao	973
万字	wan zi	1863
万宁县	wan ning xian	62
万宁市	wan ning shi	269
万宁桥	wan ning qiao	52
万宜水库	wan yi shui ku	185
万宝	wan bao	340
万宝路	wan bao lu	229
万家	wan jia	1212
万家灯火	wan jia deng huo	167
万寿	wan shou	1831
万寿寺	wan shou si	231
万寿无疆	wan shou wu jiang	177
万寿桥	wan shou qiao	52
万寿路	wan shou lu	157
万岁	wan sui	4557
万州	wan zhou	1340
万年	wan nian	7704
万年历	wan nian li	140
万年场	wan nian chang	54
万年青	wan nian qing	221
万幸	wan xing	677
万念俱灰	wan nian ju hui	184
万恶	wan e	974
万户	wan hu	3200
万户侯	wan hu hou	38
万新	wan xin	285
万方	wan fang	939
万无一失	wan wu yi shi	105
万春	wan chun	602
万有引力	wan you yin li	872
万柏林	wan bai lin	120
万步	wan bu	390
万死不辞	wan si bu ci	6
万民	wan min	499
万水千山	wan shui qian shan	267
万泉	wan quan	281
万源市	wan yuan shi	61
万物	wan wu	3785
万物之灵	wan wu zhi ling	28
万状	wan zhuang	29
万用表	wan yong biao	40
万福	wan fu	916
万秀	wan xiu	192
万科	wan ke	716
万端	wan duan	25
万箭穿心	wan jian chuan xin	87
万籁	wan lai	79
万籁俱寂	wan lai ju ji	13
万紫千红	wan zi qian hong	129
万耀煌	wan yao huang	60
万股	wan gu	1047
万胜围	wan sheng wei	144
万能	wan neng	4402
万能胶	wan neng jiao	23
万航渡路	wan hang du lu	98
万般	wan ban	250
万般无奈	wan ban wu nai	51
万花筒	wan hua tong	835
万诺	wan nuo	15
万诺沃	wan nuo wo	266
万诺维	wan nuo wei	411
万诺维奇	wan nuo wei qi	1292
万象	wan xiang	2007
万象城	wan xiang cheng	740
万象更新	wan xiang geng xin	45
万贯	wan guan	151
万载	wan zai	336
万达	wan da	2290
万遍	wan bian	313
万里	wan li	4920
万里无云	wan li wu yun	24
万里长城	wan li chang cheng	288
万里长征	wan li chang zheng	10
万金油	wan jin you	95
万隆	wan long	889
万难	wan nan	67
万顷	wan qing	357
万马奔腾	wan ma ben teng	71
万马齐喑	wan ma qi yin	6
丈	zhang	5681
丈人	zhang ren	163
丈夫	zhang fu	24241
丈母娘	zhang mu niang	827
丈量	zhang liang	323
三	san	811665
三一重工	san yi zhong gong	69
三七	san qi	711
三三两两	san san liang liang	38
三上博史	san shang bo shi	70
三下五除二	san xia wu chu er	12
三不管	san bu guan	107
三世	san shi	23898
三个	san ge	69281
三个人	san ge ren	3260
三个代表	san ge dai biao	269
三个月	san ge yue	10443
三丰	san feng	876
三义	san yi	979
三九	san jiu	598
三九天	san jiu tian	35
三乡	san xiang	655
三了	san le	2080
三五成群	san wu cheng qun	72
三井	san jing	3123
三井银行	san jing yin hang	74
三亚	san ya	5240
三亚市	san ya shi	795
三产	san chan	35
三亲六故	san qin liu gu	1
三人成虎	san ren cheng hu	51
三从四德	san cong si de	64
三代	san dai	3883
三令五申	san ling wu shen	24
三伏	san fu	96
三伏天	san fu tian	121
三位	san wei	10919
三位一体	san wei yi ti	1402
三位数	san wei shu	703
三倍	san bei	2303
三倍体	san bei ti	82
三元	san yuan	2464
三元桥	san yuan qiao	77
三元组	san yuan zu	146
三元里	san yuan li	278
三八妇女节	san ba fu nv jie	121
三八式	san ba shi	312
三公里	san gong li	364
三六九等	san liu jiu deng	84
三军	san jun	3493
三农	san nong	255
三分	san fen	15278
三分场	san fen chang	57
三分球	san fen qiu	1628
三分钟	san fen zhong	1853
三副	san fu	233
三包	san bao	285
三北	san bei	193
三区	san qu	1880
三十	san shi	26707
三十七	san shi qi	991
三十七年	san shi qi nian	1709
三十万	san shi wan	1020
三十三	san shi san	3940
三十九	san shi jiu	947
三十九年	san shi jiu nian	1191
三十二	san shi er	5156
三十五	san shi wu	1601
三十五名	san shi wu ming	168
三十五年	san shi wu nian	2289
三十儿	san shi er	32
三十八	san shi ba	1048
三十八年	san shi ba nian	2049
三十六	san shi liu	3065
三十六年	san shi liu nian	1720
三十六计	san shi liu ji	192
三十几	san shi ji	247
三十四	san shi si	906
三十四名	san shi si ming	171
三十四年	san shi si nian	4880
三十岁	san shi sui	1413
三十度	san shi du	454
三十斤	san shi jin	292
三十而立	san shi er li	116
三千	san qian	7115
三原色	san yuan se	255
三叉	san cha	761
三叉戟	san cha ji	1572
三叉神经	san cha shen jing	132
三叠	san die	574
三叠纪	san die ji	1628
三口	san kou	1692
三只手	san zhi shou	76
三合	san he	2845
三合土	san he tu	165
三合板	san he ban	19
三围	san wei	2767
三国	san guo	26484
三圣	san sheng	1239
三垒	san lei	891
三垒手	san lei shou	1080
三城	san cheng	586
三堂	san tang	239
三堡	san bao	516
三墩	san dun	130
三夏	san xia	25
三多路	san duo lu	55
三大队	san da dui	155
三天	san tian	17108
三天两头	san tian liang tou	288
三天打鱼	san tian da yu	99
三头六臂	san tou liu bi	70
三好生	san hao sheng	10
三妻四妾	san qi si qie	62
三姑六婆	san gu liu po	121
三姨	san yi	237
三孔	san kong	279
三字经	san zi jing	370
三季	san ji	946
三季度	san ji du	79
三宅	san zhai	1544
三官	san guan	698
三官堂	san guan tang	57
三官庙	san guan miao	132
三官殿	san guan dian	96
三宝	san bao	2556
三家村	san jia cun	401
三寸	san cun	267
三寸金莲	san cun jin lian	56
三尖瓣	san jian ban	76
三尺	san chi	618
三层	san ceng	6924
三层结构	san ceng jie gou	51
三届	san jie	2774
三山街	san shan jie	54
三岁	san sui	3705
三岔	san cha	194
三岔口	san cha kou	159
三岔河	san cha he	208
三岔路口	san cha lu kou	50
三岛由纪夫	san dao you ji fu	383
三峡	san xia	5143
三峡大学	san xia da xue	99
三峡广场	san xia guang chang	53
三峡镇	san xia zhen	141
三年	san nian	57776
三年级	san nian ji	4527
三废	san fei	24
三弦	san xian	517
三得利	san de li	642
三心二意	san xin er yi	175
三思	san si	368
三思而后行	san si er hou xing	114
三思而行	san si er xing	20
三振	san zhen	4100
三支队	san zhi dui	227
三教	san jiao	894
三教九流	san jiao jiu liu	57
三文鱼	san wen yu	1359
三斤	san jin	1746
三方	san fang	3057
三明市	san ming shi	614
三明治	san ming zhi	2048
三星	san xing	12040
三更	san geng	311
三更半夜	san geng ban ye	358
三月	san yue	16865
三月三	san yue san	511
三月份	san yue fen	988
三期	san qi	3130
三极管	san ji guan	117
三栋屋	san dong wu	146
三桥	san qiao	873
三棱	san leng	413
三棱镜	san leng jing	91
三次	san ci	15884
三次元	san ci yuan	465
三毛	san mao	1541
三民	san min	3394
三民主义	san min zhu yi	1722
三氟	san fu	1291
三氧化二砷	san yang hua er shen	101
三氯	san lv	662
三氯乙烯	san lv yi xi	53
三氯化	san lv hua	801
三氯甲烷	san lv jia wan	98
三水县	san shui xian	121
三水市	san shui shi	54
三江口	san jiang kou	302
三江并流	san jiang bing liu	51
三池崇史	san chi chong shi	174
三河县	san he xian	169
三河市	san he shi	209
三浦	san pu	3398
三浦友和	san pu you he	120
三浦春马	san pu chun ma	155
三清山	san qing shan	159
三灶	san zao	135
三灾八难	san zai ba nan	1
三点	san dian	6123
三点式	san dian shi	237
三点水	san dian shui	55
三牌楼	san pai lou	65
三环路	san huan lu	419
三班	san ban	1359
三班倒	san ban dao	45
三生有幸	san sheng you xing	236
三甲	san jia	11732
三番两次	san fan liang ci	64
三番五次	san fan wu ci	62
三百	san bai	8180
三百六十行	san bai liu shi hang	34
三百户	san bai hu	276
三皇五帝	san huang wu di	147
三相	san xiang	1594
三石琴乃	san shi qin nai	166
三硝基甲苯	san xiao ji jia ben	93
三磷酸腺苷	san lin suan xian gan	196
三福	san fu	195
三秋	san qiu	92
三秒	san miao	824
三秒钟	san miao zhong	261
三立	san li	5574
三级	san ji	11617
三级结构	san ji jie gou	163
三级跳远	san ji tiao yuan	379
三纲五常	san gang wu chang	58
三线	san xian	2741
三维	san wei	4165
三维图像	san wei tu xiang	126
三维空间	san wei kong jian	896
三缄其口	san jian qi kou	34
三羧酸循环	san suo suan xun huan	189
三联	san lian	2216
三联体	san lian ti	97
三联单	san lian dan	6
三聚体	san ju ti	158
三胞	san bao	23
三胞胎	san bao tai	521
三脚架	san jiao jia	949
三船敏郎	san chuan min lang	188
三艘	san sou	1972
三节	san jie	1042
三芝乡	san zhi xiang	64
三花脸	san hua lian	6
三菱	san ling	6933
三菱银行	san ling yin hang	114
三萜	san tie	183
三藏	san zang	1895
三藏朝	san zang chao	245
三藩市	san fan shi	1338
三观	san guan	5716
三观正	san guan zheng	587
三角	san jiao	15563
三角债	san jiao zhai	3
三角函数	san jiao han shu	637
三角埔	san jiao bu	115
三角形	san jiao xing	8891
三角形面积	san jiao xing mian ji	50
三角恋爱	san jiao lian ai	43
三角板	san jiao ban	19
三角洲	san jiao zhou	4891
三角肌	san jiao ji	74
三角花园	san jiao hua yuan	99
三角裤	san jiao ku	87
三角铁	san jiao tie	176
三言两语	san yan liang yu	146
三谷幸喜	san gu xing xi	169
三资企业	san zi qi ye	28
三足鼎立	san zu ding li	131
三跪九叩	san gui jiu kou	81
三轮	san lun	1712
三轮儿	san lun er	42
三轮车	san lun che	530
三辑	san ji	502
三通	san tong	727
三遍	san bian	1824
三道岭	san dao ling	69
三道沟	san dao gou	70
三郎	san lang	7068
三部曲	san bu qu	6175
三里屯	san li tun	816
三里河	san li he	167
三重唱	san chong chang	177
三重奏	san chong zou	793
三重市	san chong shi	203
三长两短	san chang liang duan	22
三门峡市	san men xia shi	619
三队	san dui	834
三阳	san yang	669
三阳路	san yang lu	73
三院	san yuan	2362
三陪	san pei	26
三青团	san qing tuan	258
三项	san xiang	4291
三顾茅庐	san gu mao lu	91
三餐	san can	1656
三鲜	san xian	301
上	shang	1432479
上一个	shang yi ge	3815
上上	shang shang	1001
上下	shang xia	12830
上下其手	shang xia qi shou	103
上下文	shang xia wen	1526
上下水	shang xia shui	27
上下班	shang xia ban	1190
上下级	shang xia ji	91
上下车	shang xia che	5228
上不去	shang bu qu	1195
上世	shang shi	52
上个	shang ge	3970
上个月	shang ge yue	1947
上中农	shang zhong nong	6
上乘	shang cheng	463
上书	shang shu	4497
上了	shang le	37569
上交	shang jiao	1323
上交所	shang jiao suo	240
上代	shang dai	489
上价值	shang jia zhi	25
上任	shang ren	8757
上传	shang chuan	6326
上传照片	shang chuan zhao pian	88
上供	shang gong	202
上元节	shang yuan jie	114
上光	shang guang	168
上党郡	shang dang jun	256
上冲	shang chong	145
上冻	shang dong	58
上分	shang fen	1132
上刑	shang xing	11
上划	shang hua	146
上劲	shang jin	64
上千	shang qian	2446
上升	shang sheng	20474
上午	shang wu	38608
上午好	shang wu hao	2332
上半场	shang ban chang	1639
上半夜	shang ban ye	44
上半天	shang ban tian	134
上半年	shang ban nian	3123
上半时	shang ban shi	41
上半月	shang ban yue	106
上厕所	shang ce suo	3926
上去	shang qu	28355
上口	shang kou	507
上古	shang gu	3215
上台	shang tai	6047
上司	shang si	4374
上吊	shang diao	947
上吐下泻	shang tu xia xie	21
上告	shang gao	251
上周	shang zhou	2995
上呼吸道	shang hu xi dao	305
上品	shang pin	369
上唇	shang chun	364
上啊	shang a	2615
上回	shang hui	1047
上地雄辅	shang di xiong fu	85
上场	shang chang	7922
上坂	shang ban	257
上坟	shang fen	378
上坡	shang po	623
上坡路	shang po lu	126
上城	shang cheng	547
上堡	shang bao	352
上塘	shang tang	210
上士	shang shi	1145
上大学	shang da xue	4053
上天	shang tian	8060
上天入地	shang tian ru di	99
上头	shang tou	1052
上奏	shang zou	3549
上套	shang tao	144
上好	shang hao	1321
上学	shang xue	16692
上官云珠	shang guan yun zhu	51
上官仪	shang guan yi	96
上官婉儿	shang guan wan er	200
上家	shang jia	432
上宾	shang bin	165
上寿	shang shou	74
上将	shang jiang	14548
上尉	shang wei	5620
上就	shang jiu	3711
上层	shang ceng	7194
上层建筑	shang ceng jian zhu	742
上屏	shang ping	19
上山	shang shan	3408
上岁数	shang sui shu	195
上岗	shang gang	532
上岸	shang an	3205
上峰	shang feng	122
上川岛	shang chuan dao	126
上川隆也	shang chuan long ye	121
上工	shang gong	162
上市	shang shi	21571
上市公司	shang shi gong si	5723
上市规则	shang shi gui ze	79
上帝	shang di	18028
上年	shang nian	2081
上年纪	shang nian ji	268
上庄	shang zhuang	330
上座	shang zuo	1880
上座儿	shang zuo er	18
上座率	shang zuo lv	462
上建	shang jian	831
上弦	shang xian	337
上强度	shang qiang du	4
上当	shang dang	1563
上心	shang xin	674
上思	shang si	267
上情	shang qing	11
上感	shang gan	18
上户彩	shang hu cai	212
上房	shang fang	245
上手	shang shou	1579
上扬	shang yang	816
上报	shang bao	2297
上推	shang tui	185
上操	shang cao	26
上文	shang wen	911
上新	shang xin	2699
上新河	shang xin he	69
上方	shang fang	14095
上旬	shang xun	3531
上星	shang xing	860
上映	shang ying	42777
上智	shang zhi	553
上曾	shang zeng	1787
上有	shang you	24346
上木彩矢	shang mu cai shi	69
上机	shang ji	526
上杉	shang shan	3887
上杉谦信	shang shan qian xin	724
上村	shang cun	1932
上来	shang lai	12836
上杭	shang hang	740
上林湖	shang lin hu	62
上林苑	shang lin yuan	207
上架	shang jia	4272
上标	shang biao	443
上校	shang xiao	11363
上桌	shang zhuo	423
上档次	shang dang ci	810
上桥	shang qiao	225
上梁	shang liang	325
上楼	shang lou	993
上榜	shang bang	4532
上次	shang ci	25113
上次去	shang ci qu	2124
上款	shang kuan	134
上水	shang shui	4387
上汽	shang qi	419
上油	shang you	122
上法	shang fa	126
上流	shang liu	2184
上浮	shang fu	388
上海	shang hai	179174
上海了	shang hai le	2168
上海体育场	shang hai ti yu chang	125
上海体育馆	shang hai ti yu guan	87
上海分行	shang hai fen hang	257
上海动物园	shang hai dong wu yuan	117
上海医药	shang hai yi yao	136
上海南站	shang hai nan zhan	504
上海图书馆	shang hai tu shu guan	278
上海地产	shang hai di chan	55
上海大学	shang hai da xue	877
上海市	shang hai shi	28604
上海建工	shang hai jian gong	78
上海火车站	shang hai huo che zhan	167
上海电视台	shang hai dian shi tai	487
上海的	shang hai de	6552
上海石化	shang hai shi hua	59
上海西站	shang hai xi zhan	104
上海证券交易所	shang hai zheng quan jiao yi suo	1053
上海财经大学	shang hai cai jing da xue	359
上海路	shang hai lu	268
上涨	shang zhang	3151
上清宫	shang qing gong	79
上清饮	shang qing yin	59
上港集团	shang gang ji tuan	105
上游	shang you	11593
上溯	shang su	602
上滑	shang hua	202
上演	shang yan	6534
上火	shang huo	4978
上热搜	shang re sou	1157
上班	shang ban	80377
上班了	shang ban le	10167
上班呢	shang ban ne	2289
上班啊	shang ban a	4041
上班族	shang ban zu	2032
上班的	shang ban de	5635
上生产	shang sheng chan	106
上田龙也	shang tian long ye	53
上疏	shang shu	3087
上瘾	shang yin	3935
上的	shang de	166708
上皮	shang pi	734
上皮癌	shang pi ai	52
上皮组织	shang pi zu zhi	152
上皮细胞	shang pi xi bao	588
上相	shang xiang	437
上眼药	shang yan yao	3
上研	shang yan	256
上税	shang shui	16
上空	shang kong	7047
上窜下跳	shang cuan xia tiao	36
上端	shang duan	713
上等	shang deng	1610
上策	shang ce	169
上算	shang suan	64
上篮	shang lan	309
上粪	shang fen	8
上紧	shang jin	120
上级	shang ji	5911
上纲	shang gang	67
上纲上线	shang gang shang xian	276
上线	shang xian	12253
上缴	shang jiao	836
上网	shang wang	7919
上联	shang lian	231
上肢	shang zhi	604
上肥	shang fei	30
上脸	shang lian	454
上膘	shang biao	7
上膛	shang tang	642
上臂	shang bi	413
上色	shang se	1368
上色	shang shai	171
上苍	shang cang	258
上药	shang yao	192
上菜	shang cai	533
上蔡	shang cai	512
上虞	shang yu	1161
上虞县	shang yu xian	240
上蜡	shang la	30
上行	shang xing	7495
上行下效	shang xing xia xiao	13
上街	shang jie	2221
上衣	shang yi	3073
上表	shang biao	2483
上装	shang zhuang	672
上角	shang jiao	3114
上议院	shang yi yuan	3357
上访	shang fang	673
上诉	shang su	13310
上诉得直	shang su de zhi	289
上课	shang ke	29917
上课了	shang ke le	2627
上调	shang diao	348
上调	shang tiao	522
上账	shang zhang	2
上货	shang huo	87
上贼船	shang zei chuan	32
上路	shang lu	3279
上蹿下跳	shang cuan xia tiao	97
上身	shang shen	1900
上车	shang che	11655
上轨道	shang gui dao	181
上载	shang zai	2206
上辈	shang bei	86
上辈子	shang bei zi	1095
上边	shang bian	836
上达	shang da	285
上过	shang guo	3065
上进	shang jin	1069
上进心	shang jin xin	501
上述	shang shu	23948
上郡	shang jun	1141
上部	shang bu	3756
上都	shang du	7150
上野树里	shang ye shu li	165
上钩	shang gou	461
上铺	shang pu	1066
上链接	shang lian jie	6
上锁	shang suo	652
上镜	shang jing	1912
上门	shang men	3524
上门取件	shang men qu jian	200
上阵	shang zhen	14975
上限	shang xian	5592
上集	shang ji	1362
上面	shang mian	23650
上颌	shang he	802
上颌骨	shang he gu	1340
上颚	shang e	429
上风	shang feng	815
上饶	shang rao	1474
上饶市	shang rao shi	714
上首	shang shou	878
上香	shang xiang	530
上马	shang ma	986
上高	shang gao	1173
下	xia	705107
下一个	xia yi ge	9170
下一代	xia yi dai	3321
下一次	xia yi ci	3007
下一步	xia yi bu	2093
下三滥	xia san lan	20
下三烂	xia san lan	1
下不为例	xia bu wei li	165
下不了台	xia bu liao tai	24
下不来	xia bu lai	357
下世	xia shi	75
下丘脑	xia qiu nao	294
下个	xia ge	5965
下个月	xia ge yue	7353
下中农	xia zhong nong	33
下乘	xia cheng	46
下九流	xia jiu liu	17
下乡	xia xiang	1919
下书	xia shu	122
下了	xia le	22170
下人	xia ren	797
下令	xia ling	20037
下任	xia ren	931
下作	xia zuo	140
下决心	xia jue xin	688
下凡	xia fan	1813
下划	xia hua	34
下划线	xia hua xian	272
下列	xia lie	13711
下力	xia li	42
下劲	xia jin	10
下午	xia wu	96535
下午去	xia wu qu	2150
下午好	xia wu hao	7241
下午茶	xia wu cha	2388
下半场	xia ban chang	2866
下半夜	xia ban ye	147
下半天	xia ban tian	39
下半年	xia ban nian	4935
下半截	xia ban jie	48
下半旗	xia ban qi	409
下半时	xia ban shi	96
下半月	xia ban yue	146
下单	xia dan	386
下卷	xia juan	626
下厨	xia chu	1086
下去	xia qu	42046
下去了	xia qu le	7037
下去的	xia qu de	3230
下发	xia fa	1578
下台	xia tai	4829
下台阶	xia tai jie	55
下同	xia tong	758
下周	xia zhou	15004
下咽	xia yan	333
下咽	xia ye	41
下品	xia pin	172
下唇	xia chun	391
下回	xia hui	4378
下围	xia wei	105
下地	xia di	593
下场	xia chang	2824
下场门	xia chang men	4
下坠	xia zhui	410
下坡	xia po	1114
下坡路	xia po lu	77
下垂	xia chui	1292
下城	xia cheng	929
下堡	xia bao	506
下塌	xia ta	44
下士	xia shi	1152
下处	xia chu	40
下大力气	xia da li qi	5
下头	xia tou	193
下奶	xia nai	69
下嫁	xia jia	1172
下存	xia cun	10
下学	xia xue	150
下学期	xia xue qi	3379
下完	xia wan	596
下定	xia ding	1859
下定决心	xia ding jue xin	1661
下家	xia jia	540
下就	xia jiu	3657
下层	xia ceng	4818
下属	xia shu	33887
下山	xia shan	3181
下岗	xia gang	596
下川	xia chuan	561
下工	xia gong	19
下工夫	xia gong fu	30
下巴	xia ba	7785
下巴颏儿	xia ba ke er	2
下市	xia shi	313
下床	xia chuang	802
下弦	xia xian	209
下忍	xia ren	188
下怀	xia huai	92
下情	xia qing	51
下意识	xia yi shi	203
下房	xia fang	19
下手	xia shou	3816
下拉	xia la	394
下拨	xia bo	92
下挫	xia cuo	164
下摆	xia bai	294
下播	xia bo	92
下操	xia cao	5
下放	xia fang	3372
下文	xia wen	2091
下方	xia fang	13561
下方显示	xia fang xian shi	78
下旬	xia xun	8307
下星期	xia xing qi	2117
下月	xia yue	889
下本儿	xia ben er	28
下村	xia cun	1312
下来	xia lai	61042
下来了	xia lai le	6138
下来的	xia lai de	9305
下架	xia jia	3995
下桥	xia qiao	214
下棋	xia qi	694
下楼	xia lou	2503
下榻	xia ta	599
下欠	xia qian	4
下次	xia ci	80919
下次一起	xia ci yi qi	2241
下次你	xia ci ni	2522
下次去	xia ci qu	4207
下次带	xia ci dai	2432
下次我	xia ci wo	4603
下次来	xia ci lai	3342
下次聊	xia ci liao	38
下次见	xia ci jian	1054
下款	xia kuan	138
下毒	xia du	788
下毒手	xia du shou	85
下毛毛雨	xia mao mao yu	46
下水	xia shui	8503
下水道	xia shui dao	2231
下江	xia jiang	207
下沉	xia chen	1777
下沙	xia sha	900
下河	xia he	366
下泄	xia xie	200
下注	xia zhu	461
下泻	xia xie	30
下流	xia liu	871
下浮	xia fu	52
下海	xia hai	1299
下渗	xia shen	31
下游	xia you	8959
下滑	xia hua	3576
下潜	xia qian	674
下狠心	xia hen xin	60
下狱	xia yu	1556
下班	xia ban	19896
下班了	xia ban le	3042
下生	xia sheng	165
下田	xia tian	771
下町	xia ding	1299
下界	xia jie	628
下痢	xia li	79
下的	xia de	51278
下眼皮	xia yan pi	67
下礼拜	xia li bai	811
下种	xia zhong	42
下端	xia duan	547
下笔	xia bi	283
下等	xia deng	593
下策	xia ce	142
下箸	xia zhu	7
下级	xia ji	4991
下级法院	xia ji fa yuan	258
下线	xia xian	2433
下联	xia lian	315
下聘	xia pin	15
下肚	xia du	338
下肢	xia zhi	830
下脚	xia jiao	129
下脚料	xia jiao liao	25
